Code,type,interval,Es,Hs,th_mass,type_hs,type_cs,type_dhw,type_ctrl,win_wall,type_shade,U_wall,U_roof,U_base,U_win
REST5,construction,2005-2020,0.9,0.9,T3,T1,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
REST6,construction,2020-2030,0.9,0.9,T3,T1,T3,T2,T3,0.25,T1,0.11,0.09,0.15,0.9
REST7,Renovation,1920,0.9,0.9,T3,T3,T3,T1,T1,0.25,T2,0.2,0.2,0.28,1.3
REST8,Renovation,1920-1970,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
REST9,Renovation,1970-1980,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
REST10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
REST11,Renovation,2005-2020,0.9,0.9,T3,T1,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
REST12,Renovation,2020-2030,0.9,0.9,T3,T1,T3,T2,T3,0.25,T1,0.15,0.15,0.2,0.9
RESTS1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.25,T2,1.5,1,1.2,2.9
RESTS2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,2,2.7
RESTS3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,1.79,3.1
RESTS4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.25,T1,0.27,0.27,0.4,3.1
RESTS5,construction,2005-2020,0.9,0.9,T3,T4,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
RESTS6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.25,T1,0.11,0.09,0.15,0.9
RESTS7,Renovation,1920,0.9,0.9,T3,T3,T3,T1,T1,0.25,T2,0.2,0.2,0.28,1.3
RESTS8,Renovation,1920-1970,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
RESTS9,Renovation,1970-1980,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
RESTS10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
RESTS11,Renovation,2005-2020,0.9,0.9,T3,T4,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
RESTS12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.25,T1,0.15,0.15,0.2,0.9
INDUS1,construction,1920,0.9,0.9,T3,T1,T3,T1,T1,0.26,T0,3.7,0.27,2.32,4.3
INDUS2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.27,T0,3.7,0.27,2.32,4.3
INDUS3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.4,T0,0.735,0.99,1.79,3.1
INDUS4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.3,T1,0.37,0.226,0.47,2.55
INDUS5,construction,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.3,T1,0.2,0.2,0.28,1.3
INDUS6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.3,T1,0.11,0.09,0.15,0.9
INDUS7,Renovation,1920,0.9,0.9,T3,T1,T3,T1,T1,0.26,T0,0.2,0.2,0.28,1.3
INDUS8,Renovation,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.27,T0,0.2,0.2,0.28,1.3
INDUS9,Renovation,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.4,T0,0.2,0.2,0.28,1.3
INDUS10,Renovation,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.3,T1,0.2,0.2,0.28,1.3
INDUS11,Renovation,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.3,T1,0.2,0.2,0.28,1.3
INDUS12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.3,T1,0.15,0.15,0.2,0.9
EDU1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.31,T2,1.5,1,1.2,2.9
EDU2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.31,T1,1.5,1,1.2,2.9
EDU3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.31,T1,1.2,0.45,0.9,2.9
EDU4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.31,T1,0.85,0.3,0.4,1.9
EDU5,construction,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.31,T1,0.2,0.2,0.28,1.3
EDU6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.31,T1,0.11,0.09,0.15,0.9
EDU7,Renovation,1920,0.9,0.9,T3,T1,T3,T1,T1,0.31,T2,0.2,0.2,0.28,1.3
EDU8,Renovation,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.31,T1,0.2,0.2,0.28,1.3
EDU9,Renovation,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.31,T1,0.2,0.2,0.28,1.3
EDU10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.31,T1,0.2,0.2,0.28,1.3
EDU11,Renovation,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.31,T1,0.2,0.2,0.28,1.3
EDU12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.31,T1,0.15,0.15,0.2,0.9
HEALTH1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.16,T2,1.5,1,1.2,2.9
HEALTH2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.21,T1,1.5,1,1.2,2.9
HEALTH3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,1.2,0.45,0.9,2.9
HEALTH4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.21,T1,0.85,0.3,0.4,1.9
HEALTH5,construction,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.15,T1,0.2,0.2,0.28,1.3
HEALTH6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.15,T1,0.11,0.09,0.15,0.9
HEALTH7,Renovation,1920,0.9,0.9,T3,T1,T3,T1,T1,0.16,T2,0.2,0.2,0.28,1.3
HEALTH8,Renovation,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.21,T1,0.2,0.2,0.28,1.3
HEALTH9,Renovation,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
HEALTH10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.21,T1,0.2,0.2,0.28,1.3
HEALTH11,Renovation,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.15,T1,0.2,0.2,0.28,1.3
HEALTH12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.15,T1,0.15,0.15,0.2,0.9
PUBLIC1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.2,T2,1.5,1,1.2,2.9
PUBLIC2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.2,T1,1.5,1,1.2,2.9
PUBLIC3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.2,T1,1.2,0.45,0.9,2.9
PUBLIC4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.2,T1,0.85,0.3,0.4,1.9
PUBLIC5,construction,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.2,T1,0.2,0.2,0.28,1.3
PUBLIC6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.2,T1,0.11,0.09,0.15,0.9
PUBLIC7,Renovation,1920,0.9,0.9,T3,T1,T3,T1,T1,0.2,T2,0.2,0.2,0.28,1.3
PUBLIC8,Renovation,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
PUBLIC9,Renovation,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
PUBLIC10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
PUBLIC11,Renovation,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.2,T1,0.2,0.2,0.28,1.3
PUBLIC12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.2,T1,0.15,0.15,0.2,0.9
SPORT1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.2,T2,1.5,1,1.2,2.9
