Code,Code2,Code3,Year type,Year interval,Wall_ext_ag,Wall_ext_bg,Floor_int,Wall_int_sup,Wall_int_nosup,Roof,Floor_g,Services,Win_ext,Excavation,,,,,,,,,,,
DEPO5,DEPO,Deposit/parking,construction,2005-2020,1043,998,1143,448,0,1527,1516,236,1273,2000,,,,,,,,,,,
DEPO6,DEPO,Deposit/parking,construction,2020-2030,1043,998,1143,448,0,1527,1516,236,1273,2000,,,,,,,,,,,
DEPO7,DEPO,Deposit/parking,Renovation,1920,0,0,0,0,0,0,0,35,0,0,,,,,,,,,,,
DEPO8,DEPO,Deposit/parking,Renovation,1920-1970,79,79,53,53,0,72,53,35,463,0,,,,,,,,,,,
DEPO9,DEPO,Deposit/parking,Renovation,1970-1980,61,61,32,70,0,32,127,35,1957,0,,,,,,,,,,,
DEPO10,DEPO,Deposit/parking,Renovation,1980-2005,99,304,39,35,0,323,276,35,1129,0,,,,,,,,,,,
DEPO11,DEPO,Deposit/parking,Renovation,2005-2020,314,519,32,35,0,637,394,35,1273,0,,,,,,,,,,,
DEPO12,DEPO,Deposit/parking,Renovation,2020-2030,314,519,32,35,0,637,394,35,1273,0,,,,,,,,,,,
CR11,CR,Cooling-room,construction,1920,820,820,850,547,0,986,592,719,688,2000,,,,,,,,,,,
CR12,CR,Cooling-room,construction,1920-1970,361,361,984,299,200,534,984,719,926,2000,,,,,,,,,,,
CR13,CR,Cooling-room,construction,1970-1980,792,761,994,663,331,1191,1064,719,1957,2000,,,,,,,,,,,
CR14,CR,Cooling-room,construction,1980-2005,753,815,1048,427,72,1133,1407,719,1107,2000,,,,,,,,,,,
CR15,CR,Cooling-room,construction,2005-2020,1182,1285,779,662,343,1741,1458,719,1273,2000,,,,,,,,,,,
CR16,CR,Cooling-room,construction,2020-2030,1182,1285,779,662,343,1741,1458,719,1273,2000,,,,,,,,,,,
CR17,CR,Cooling-room,Renovation,1920,0,0,0,0,0,0,0,108,0,0,,,,,,,,,,,
CR18,CR,Cooling-room,Renovation,1920-1970,114,114,91,53,53,107,91,108,926,0,,,,,,,,,,,
CR19,CR,Cooling-room,Renovation,1970-1980,130,130,107,70,70,107,177,108,1957,0,,,,,,,,,,,
CR20,CR,Cooling-room,Renovation,1980-2005,99,304,71,51,35,336,286,108,1107,0,,,,,,,,,,,
CR21,CR,Cooling-room,Renovation,2005-2020,389,594,95,35,35,559,532,108,1273,0,,,,,,,,,,,
CR22,CR,Cooling-room,Renovation,2020-2030,389,594,95,35,35,559,532,108,1273,0,,,,,,,,,,,
