Code,Code2,Code3,Year type,Year interval,Wall_ext_ag,Wall_ext_bg,Floor_int,Wall_int_sup,Wall_int_nosup,Roof,Floor_g,Services,Win_ext,Excavation
SWIM12,SWIM,Swimming Hall,Renovation,2020-2030,26,40,4,4,4,50,31,7,85,0
SR1,SR,Server room,construction,1920,57,57,64,39,32,29,39,47,47,135
SR2,SR,Server room,construction,1920-1970,31,31,106,26,17,57,106,47,62,135
SR3,SR,Server room,construction,1970-1980,36,35,110,34,21,114,113,47,62,135
SR4,SR,Server room,construction,1980-2005,50,54,92,47,6,85,126,47,76,135
SR5,SR,Server room,construction,2005-2020,67,147,90,52,20,99,136,47,85,135
SR6,SR,Server room,construction,2020-2030,67,147,90,52,20,99,136,47,85,135
SR7,SR,Server room,Renovation,1920,0,0,0,0,0,0,0,7,0,0
SR8,SR,Server room,Renovation,1920-1970,7,7,5,3,3,10,5,7,62,0
SR9,SR,Server room,Renovation,1970-1980,7,7,5,2,2,9,11,7,62,0
SR10,SR,Server room,Renovation,1980-2005,8,22,6,4,2,24,22,7,76,0
SR11,SR,Server room,Renovation,2005-2020,31,46,7,2,2,43,42,7,85,0
SR12,SR,Server room,Renovation,2020-2030,31,46,7,2,2,43,42,7,85,0
ICE1,ICE,Icering,construction,1920,57,57,64,39,32,29,39,47,47,135
ICE2,ICE,Icering,construction,1920-1970,31,31,106,26,17,57,106,47,62,135
ICE3,ICE,Icering,construction,1970-1980,77,75,110,67,32,131,115,47,123,135
ICE4,ICE,Icering,construction,1980-2005,50,54,92,47,6,85,126,47,76,135
ICE5,ICE,Icering,construction,2005-2020,67,108,90,52,20,99,136,47,85,135
ICE6,ICE,Icering,construction,2020-2030,67,108,90,52,20,99,136,47,85,135
ICE7,ICE,Icering,Renovation,1920,0,0,0,0,0,0,0,7,0,0
ICE8,ICE,Icering,Renovation,1920-1970,7,7,5,3,3,10,5,7,62,0
ICE9,ICE,Icering,Renovation,1970-1980,10,10,9,5,5,9,13,7,123,0
ICE10,ICE,Icering,Renovation,1980-2005,8,22,6,4,2,24,22,7,76,0
ICE11,ICE,Icering,Renovation,2005-2020,26,147,4,4,0,50,31,7,85,0
ICE12,ICE,Icering,Renovation,2020-2030,26,147,4,4,0,50,31,7,85,0
DEPO1,DEPO,Deposit/parking,construction,1920,77,77,81,51,0,94,62,15,47,135
DEPO2,DEPO,Deposit/parking,construction,1920-1970,43,43,118,42,0,115,118,15,62,135
DEPO3,DEPO,Deposit/parking,construction,1970-1980,71,71,108,67,0,126,110,15,123,135
DEPO4,DEPO,Deposit/parking,construction,1980-2005,47,47,92,52,0,73,136,15,79,135
DEPO5,DEPO,Deposit/parking,construction,2005-2020,67,108,90,52,0,99,136,15,85,135
DEPO6,DEPO,Deposit/parking,construction,2020-2030,67,108,90,52,0,99,136,15,85,135
DEPO7,DEPO,Deposit/parking,Renovation,1920,0,0,0,0,0,0,0,2,0,0
DEPO8,DEPO,Deposit/parking,Renovation,1920-1970,5,5,3,3,0,8,3,2,31,0
DEPO9,DEPO,Deposit/parking,Renovation,1970-1980,5,5,4,5,0,4,10,2,123,0
DEPO10,DEPO,Deposit/parking,Renovation,1980-2005,8,22,4,4,0,24,21,2,79,0
DEPO11,DEPO,Deposit/parking,Renovation,2005-2020,26,40,4,4,0,50,31,2,85,0
DEPO12,DEPO,Deposit/parking,Renovation,2020-2030,26,40,4,4,0,50,31,2,85,0
CR11,CR,Cooling-room,construction,1920,77,77,81,51,0,94,62,47,47,135
CR12,CR,Cooling-room,construction,1920-1970,31,31,106,26,17,57,106,47,62,135
CR13,CR,Cooling-room,construction,1970-1980,77,75,110,67,32,131,115,47,123,135
CR14,CR,Cooling-room,construction,1980-2005,50,54,92,47,6,85,126,47,76,135
CR15,CR,Cooling-room,construction,2005-2020,99,144,79,73,20,132,148,47,85,135
CR16,CR,Cooling-room,construction,2020-2030,99,144,79,73,20,132,148,47,85,135
CR17,CR,Cooling-room,Renovation,1920,0,0,0,0,0,0,0,7,0,0
CR18,CR,Cooling-room,Renovation,1920-1970,7,7,5,3,3,10,5,7,62,0
CR19,CR,Cooling-room,Renovation,1970-1980,10,10,9,5,5,9,13,7,123,0
CR20,CR,Cooling-room,Renovation,1980-2005,8,22,6,4,2,24,22,7,76,0
CR21,CR,Cooling-room,Renovation,2005-2020,31,46,7,2,2,43,42,7,85,0
CR22,CR,Cooling-room,Renovation,2020-2030,31,46,7,2,2,43,42,7,85,0
