ID,UUID,name,name_KBOB,ID_recycling,recycling_method,density,unit,thermal_conductivity,thermal_conductivity_source,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product
10.004.01,046FE9F5-65FC-48A0-802F-8E2EE600CDA6,expanded_polystyrene_swissporeps,"Polystyrol expandiert, SwissporEPS",91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",16.8,kg,0.035,"SIA 279 -- Register Baustoffkennwerte, SwissporEPS, interpolated",8790,5510,3280,27.4,27.2,18,9.18,0.213,0.729,0.718,0.694,0.024,0.0117,26.7,26.5,17.3,9.15,0.202,6.95,3.86,3.09,0
10.005.02,0e651b7f-45ea-4bef-929b-87ce6e1a20b8,extruded_polystyrene_jackodur_evo,"Polystyrol extrudiert, JACKODUR EVO",91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",31.1,kg,0.032,SIA 279 -- Register Baustoffkennwerte,9200,5920,3280,23.8,23.6,17.5,6.05,0.214,0.376,0.364,0.364,0,0.0117,23.4,23.2,17.2,6.05,0.202,6.65,3.56,3.09,0
10.005.01,ACF64203-B038-4EAF-B297-53D8C48F8A42,extruded_polystyrene_swissporxps,"Polystyrol extrudiert, SwissporXPS",91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",34.3,kg,0.034,"SIA 279 -- Register Baustoffkennwerte, SwissporXPS, interpolated",8880,5600,3280,26.9,26.7,17.3,9.4,0.213,1.37,1.36,1.36,0.00169,0.0117,25.5,25.3,15.9,9.4,0.202,6.96,3.87,3.09,0
10.005,604F2ECA-F888-49C4-9FA5-C206BC37E889,extruded_polystyrene_xps,Polystyrol extrudiert (XPS),91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",30-35,kg,0.042,SIA 279:2018,19700,16500,3280,30.1,29.9,20.6,9.22,0.213,0.671,0.659,0.659,0,0.0117,29.4,29.2,20,9.22,0.202,14.4,11.3,3.09,0
3.005,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,flat_glass_coated,Flachglas beschichtet,91.032,"Entsorgung, Flachglas",2500,kg,1,SIA 279 -- Register Baustoffkennwerte,1990,1920,68.8,4.9,4.78,4.78,0,0.121,0.263,0.251,0.251,0,0.0121,4.64,4.53,4.53,0,0.109,1.2,1.18,0.0191,0
3.006,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,flat_glass_uncoated,Flachglas unbeschichtet,91.032,"Entsorgung, Flachglas",2500,kg,1,SIA 279 -- Register Baustoffkennwerte,1790,1720,68.8,4.22,4.1,4.1,0,0.121,0.143,0.131,0.131,0,0.0121,4.08,3.97,3.97,0,0.109,1.14,1.12,0.0191,0
10.007,328C6FA7-DA92-462A-9CC7-6D0DB5CCE2D3,foam_glass,Schaumglas,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",100-165,kg,0.054,"SIA 279 -- Register Baustoffkennwerte, Schaumglas, interpolated",1760,1710,42.5,7.04,6.99,6.99,0,0.0548,1.88,1.88,1.88,0,0.00221,5.16,5.11,5.11,0,0.0526,1.19,1.17,0.0127,0
10.007.01,6bbf201f-48e8-4866-9dff-f6f2e3105ec6,foam_glass_glapor,"Schaumglas, GLAPOR",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",120,kg,0.052,SIA 279 -- Register Baustoffkennwerte,1020,979,42.5,3.35,3.3,3.3,0,0.0548,0.206,0.203,0.203,0,0.00221,3.15,3.1,3.1,0,0.0526,0.707,0.694,0.0127,0
10.013,BEB5B222-85E0-44DB-891D-851DF16EEA31,foam_glass_gravel,Schaumglasschotter,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",125-190,kg,0.115,"SIA 279 -- Register Baustoffkennwerte, interpolated",610,567,42.5,2.37,2.32,2.32,0,0.0548,0.352,0.35,0.35,0,0.00221,2.02,1.97,1.97,0,0.0526,0.266,0.253,0.0127,0
10.013.01,62F9139A-7A1D-40DD-90F8-38B52AF993C4,foam_glass_gravel_10_75_misapor,"Schaumglasschotter 10/75, Misapor",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",125-150,kg,0.081,SIA 279 -- Register Baustoffkennwerte,565,522,42.5,2.22,2.17,2.17,0,0.0548,0.333,0.33,0.33,0,0.00221,1.89,1.84,1.84,0,0.0526,0.244,0.231,0.0127,0
