SCRIPT,LOCATOR_METHOD,FILE_NAME,VARIABLE,DESCRIPTION,UNIT,VALUES,TYPE,COLOR
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Saturday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Sunday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,Weekday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOSPITAL,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:HOTEL,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Saturday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Sunday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,Weekday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:INDUSTRIAL,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Saturday_4,TODO,TODO,TODO,TODO,black
