Eaf,Ealf,Eauxf,Eauxf_cs,Eauxf_fw,Eauxf_hs,Eauxf_ve,Eauxf_ww,Ecaf,Edataf,Ef,Ehs_lat_aux,Elf,Eprof,Eref,I_rad,I_sol,QCf,QEf,QHf,Qcdataf,Qcref,Qcs,Qcs_em_ls,Qcs_lat_sys,Qcs_sen,Qcs_sen_incl_em_ls,Qcs_sen_sys,Qcsf,Qcsf_lat,Qhprof,Qhs,Qhs_em_ls,Qhs_lat_sys,Qhs_sen,Qhs_sen_incl_em_ls,Qhs_sen_sys,Qhsf,Qhsf_lat,Qs,Qww,Qwwf,T_ext,T_sky,Ta_re_cs,Ta_re_hs,Ta_sup_cs,Ta_sup_hs,Tcdataf_re,Tcdataf_sup,Tcref_re,Tcref_sup,Tcsf_re,Tcsf_sup,Thsf_re,Thsf_sup,Twwf_re,Twwf_sup,m_ve_inf,m_ve_mech,m_ve_recirculation,m_ve_required,m_ve_window,ma_sup_cs,ma_sup_hs,mcpcsf,mcpdataf,mcphsf,mcpref,mcpwwf,people,rh_ext,system_status,ta_cs_set,ta_hs_set,theta_a,theta_c,theta_m,theta_o,theta_ve_mech,u_wind,ve,w_int
812.465,2382.402,3.072,0,0,2.721,0,0.351,0,0,2385.475,0,1569.937,0,0,1213.676,-1213.676,0,15248.898,12863.424,0,0,0,0,0,0,0,0,0,0,0,9517.285,1606.894,0,9517.285,11124.179,9517.285,11393.998,0,359.994,1007.119,1469.426,8.500,42.713,0,0,0,0,0,0,0,0,0,0,47.517,56.040,10,60,0.107,0,0,0.064,0.000,0,0,0,0,1336.819,0,29.389,5,63,Radiative heating,,21.545,21.545,19.271,18.444,19.976,8.500,1.100,185.140,0
812.465,2382.402,3.023,0,0,2.721,0,0.302,0,0,2385.425,0,1569.937,0,0,1174.005,-1174.005,0,14937.049,12551.624,0,0,0,0,0,0,0,0,0,0,0,9600.747,1570.941,0,9600.747,11171.688,9600.747,11444.062,0,449.992,742.957,1107.562,8.000,42.069,0,0,0,0,0,0,0,0,0,0,47.601,56.162,10,60,0.107,0,0,0.080,0.000,0,0,0,0,1336.819,0,22.151,6,62,Radiative heating,,21.545,21.545,19.252,18.423,19.963,8.000,0.400,231.425,0
812.465,2382.402,2.946,0,0,2.721,0,0.225,0,0,2385.348,0,1569.937,0,0,1120.585,-1120.585,0,14656.359,12271.011,0,0,0,0,0,0,0,0,0,0,0,9776.079,1542.485,0,9776.079,11318.564,9776.079,11596.225,0,449.992,412.754,674.786,7.400,41.201,0,0,0,0,0,0,0,0,0,0,47.855,56.529,10,60,0.107,0,0,0.080,0.000,0,0,0,0,1336.819,0,13.496,6,58,Radiative heating,,21.545,21.545,19.224,18.392,19.944,7.400,0.200,231.425,0
204.151,612.763,2.917,0,0,2.721,0,0.196,0,0,615.680,0,408.612,0,0,1089.219,-1089.219,0,13934.889,13319.209,0,0,0,0,0,0,0,0,0,0,0,10798.621,1654.566,0,10798.621,12453.187,10798.621,12760.247,0,449.992,313.693,558.962,6.900,40.669,0,0,0,0,0,0,0,0,0,0,49.770,59.315,10,60,0.108,0,0,0.080,0.000,0,0,0,0,1336.819,0,11.179,6,61,Radiative heating,,21.545,21.545,19.170,18.332,19.907,6.900,0.200,231.425,0
204.151,612.763,2.848,0,0,2.721,0,0.127,0,0,615.611,0,408.612,0,0,1048.599,-1048.599,0,14078.477,13462.866,0,0,0,0,0,0,0,0,0,0,0,11076.770,1640.281,0,11076.770,12717.051,11076.770,13032.533,0,449.992,132.081,430.333,6.300,39.955,0,0,0,0,0,0,0,0,0,0,50.210,59.959,10,60,0.108,0,0,0.080,0.000,0,0,0,0,1336.819,0,8.607,6,62,Radiative heating,,21.545,21.545,19.117,18.265,19.870,6.300,0.300,231.425,0
204.151,612.763,2.811,0,0,2.721,0,0.090,0,0,615.574,0,408.612,0,0,998.310,-998.310,0,14484.210,13868.636,0,0,0,0,0,0,0,0,0,0,0,11395.253,1623.921,0,11395.253,13019.174,11395.253,13344.440,0,449.992,66.041,524.196,5.600,39.073,0,0,0,0,0,0,0,0,0,0,50.712,60.694,10,60,0.108,0,0,0.080,0.000,0,0,0,0,1336.819,0,10.484,6,63,Radiative heating,,21.545,21.545,19.057,18.188,19.829,5.600,2.200,231.425,0
204.151,612.763,2.766,0,0,2.721,0,0.045,0,0,615.529,0,408.612,0,0,948.332,-948.332,0,15008.593,14393.064,0,0,0,0,0,0,0,0,0,0,0,11759.616,1606.722,0,11759.616,13366.339,11759.616,13702.965,0,449.992,16.510,690.099,4.800,38.177,0,0,0,0,0,0,0,0,0,0,51.285,61.535,10,60,0.108,0,0,0.081,0.000,0,0,0,0,1336.819,0,13.802,6,66,Radiative heating,,21.545,21.545,18.989,18.101,19.781,4.800,4.100,231.425,0
204.151,612.763,2.766,0,0,2.721,0,0.045,0,0,615.529,0,408.612,0,0,931.688,-931.688,0,15316.314,14700.785,0,0,0,0,0,0,0,0,0,0,0,12043.951,1620.506,0,12043.951,13664.457,12043.951,14009.621,0,449.992,16.510,691.164,4.500,37.827,0,0,0,0,0,0,0,0,0,0,51.772,62.251,10,60,0.109,0,0,0.081,0.000,0,0,0,0,1336.819,0,13.823,6,67,Radiative heating,,21.545,21.545,18.926,18.016,19.738,4.500,2.700,231.425,0
204.151,612.763,2.785,0,0,2.721,0,0.064,0,0,615.547,0,408.612,0,0,909.803,-909.803,0,15660.478,15044.930,0,0,0,0,0,0,0,0,0,0,0,12346.242,1628.113,0,12346.242,13974.355,12346.242,14328.752,0,449.992,33.020,716.179,4.100,37.393,0,0,0,0,0,0,0,0,0,0,52.275,62.993,10,60,0.109,0,0,0.081,0.000,0,0,0,0,1336.819,0,14.324,6,69,Radiative heating,,21.545,21.545,18.862,17.929,19.694,4.100,3.700,231.425,0
204.151,612.763,2.998,0,0,2.721,0,0.277,0,0,615.761,0,408.612,0,0,886.558,-886.558,0,16225.598,15609.837,0,0,0,0,0,0,0,0,0,0,0,12650.636,1635.695,0,12650.636,14286.331,12650.636,14650.075,0,449.992,627.386,959.762,3.700,36.931,0,0,0,0,0,0,0,0,0,0,52.778,63.737,10,60,0.109,0,0,0.081,0.000,0,0,0,0,1336.819,0,19.195,6,71,Radiative heating,,21.545,21.545,18.798,17.842,19.650,3.700,1.700,231.425,0
