thermal_loss_supply_kW,thermal_loss_return_kW,thermal_loss_total_kW
-0.08358862394108993,-0.07806908627221776,-0.1616577102133077
-0.08192796837891539,-0.07651808738940896,-0.15844605576832435
-0.08342330284633948,-0.07791539560768201,-0.1613386984540215
-0.08151475534144186,-0.07613285729005928,-0.15764761263150112
-0.08269076472695847,-0.07723122229576938,-0.15992198702272786
-0.08142079395602489,-0.0760450995743778,-0.1574658935304027
-0.08315031456265692,-0.07766043099514458,-0.1608107455578015
-0.08190013810203178,-0.07649279569128815,-0.15839293379331992
-0.08184736126916523,-0.07644350337550583,-0.15829086464467107
-0.08209357794344119,-0.07667346393720591,-0.1587670418806471
-0.08284930305509904,-0.07737858434243959,-0.16022788739753863
-0.08140890705312423,-0.07603330080519642,-0.15744220785832064
-0.08249160330085921,-0.07704450427652675,-0.15953610757738595
-0.08242409962263636,-0.0769814580126577,-0.15940555763529407
-0.08201845732439944,-0.0766026011536647,-0.15862105847806413
-0.08368227342403098,-0.07815655187628284,-0.16183882530031382
-0.08212222486372389,-0.07669951669727157,-0.15882174156099546
-0.08327231548357716,-0.07777366434603901,-0.16104597982961616
-0.0818821132620163,-0.07647526018406955,-0.15835737344608586
-0.08287591072700046,-0.07740343505293801,-0.16027934577993846
-0.08256583840205065,-0.07711383747498234,-0.15967967587703297
-0.0827625003479113,-0.07729751340652617,-0.16006001375443746
-0.08209551323920958,-0.07667456889911053,-0.1587700821383201
-0.08267000360471474,-0.07721112442338554,-0.15988112802810028
-0.08290576574368491,-0.07743131867886761,-0.1603370844225525
-0.08254535437814782,-0.07709470605417425,-0.15964006043232207
-0.08167495001906912,-0.07628177637793737,-0.15795672639700647
-0.0834139250212101,-0.07790592309903124,-0.16131984812024136
-0.08154478071874426,-0.07616020243845943,-0.1577049831572037
-0.08299620990216888,-0.07751650087924551,-0.16051271078141438
-0.08210950049373697,-0.07668833522332225,-0.15879783571705922
-0.08423170415151168,-0.07867042334393254,-0.16290212749544422
-0.08033817188882421,-0.07503395611974145,-0.15537212800856565
-0.08320398239405079,-0.07771055548280956,-0.16091453787686033
-0.08126095234575208,-0.07589581128323802,-0.15715676362899011
-0.08334253005050207,-0.07783995572298766,-0.16118248577348973
-0.08054699469657986,-0.07522899169281339,-0.15577598638939325
-0.08425861099954705,-0.07869555370439002,-0.1629541647039371
-0.08171246932636204,-0.07631751748483276,-0.1580299868111948
-0.08212550392632864,-0.07670257923688976,-0.1588280831632184
-0.08245311279648117,-0.07700855538386826,-0.15946166818034943
-0.08196632790185018,-0.0765539139496607,-0.15852024185151087
-0.08240631464287518,-0.0769648474131388,-0.15937116205601398
-0.08324574212112529,-0.07774955808213702,-0.1609953002032623
-0.0803754281761667,-0.07506875261233074,-0.15544418078849745
-0.08445862097645807,-0.07888235830148474,-0.1633409792779428
-0.08011452397882342,-0.07482507425112686,-0.1549395982299503
-0.08187231503954553,-0.07646680960783901,-0.15833912464738453
-0.0803365559875774,-0.07503244690604441,-0.15536900289362182
-0.0847454592358489,-0.07915025846571644,-0.16389571770156536
-0.0805987988422861,-0.075277375541616,-0.1558761743839021
-0.08337107148392817,-0.07786661274838677,-0.16123768423231494
-0.08098587197500758,-0.07563889271085997,-0.15662476468586756
-0.08367172319323428,-0.07814741434818627,-0.16181913754142055
-0.08082520990047357,-0.07548883812559136,-0.1563140480260649
-0.08488537418873854,-0.07928093572953428,-0.1641663099182728
-0.08016833600497202,-0.0748753334130455,-0.1550436694180175
-0.08501345695303227,-0.07940056200763282,-0.1644140189606651
-0.08070212148690609,-0.07537387645338679,-0.15607599794029287
-0.08393086355058361,-0.07838944532402391,-0.16232030887460752
-0.08196181609528519,-0.07655040148152688,-0.15851221757681205
-0.08325389360835087,-0.07775645890748842,-0.16101035251583928
-0.08358167064788541,-0.07806259211944376,-0.16164426276732918
-0.08151515461427715,-0.07613253261003647,-0.1576476872243136
-0.08333792304733866,-0.07783493969998448,-0.16117286274732312
-0.08264325710476798,-0.0771868512980866,-0.15983010840285458
-0.08171559529967154,-0.07632043707040405,-0.15803603237007557
-0.08259575976801725,-0.07714178306842448,-0.15973754283644173
-0.08139971645672824,-0.07602471708314402,-0.15742443353987226
-0.08406366510364549,-0.07851275943780048,-0.16257642454144597
-0.08109806329066416,-0.07574298272973695,-0.1568410460204011
-0.08209606259825672,-0.07667508198312831,-0.15877114458138503
-0.08233905091003574,-0.07690202525054073,-0.15924107616057648
-0.08155675169636666,-0.07617208089555433,-0.157728832591921
-0.08281919441540632,-0.07735117259390414,-0.16017036700931048
-0.0826228248784019,-0.07716776808206269,-0.1597905929604646
-0.0838600559007736,-0.07832331265113723,-0.16218336855191084
-0.0835682005001142,-0.07805072659609831,-0.1616189270962125
-0.08273404000652783,-0.07727164038644097,-0.1600056803929688
-0.08191531964136266,-0.07650697489083824,-0.1584222945322009
-0.08239931187439102,-0.07695901221174095,-0.15935832408613199
-0.08200404512894974,-0.07658984240299116,-0.1585938875319409
-0.08238533655157625,-0.07694595959023715,-0.1593312961418134
-0.08249080291187405,-0.07704446268116658,-0.15953526559304063
-0.0835341499562411,-0.0780189241916962,-0.1615530741479373
-0.08402658875087805,-0.0784788504021249,-0.16250543915300297
-0.08255757041134862,-0.0771068219505534,-0.15966439236190202
-0.08327536292806871,-0.07777722321641159,-0.16105258614448031
-0.08106900595905792,-0.07571653788993254,-0.15678554384899046
-0.08241343540960556,-0.07697220326034834,-0.15938563866995392
-0.0816605155644236,-0.0762689938971132,-0.15792950946153678
-0.08297177858086371,-0.0774936826019874,-0.1604654611828511
-0.08077420798815783,-0.07544120354302564,-0.15621541153118346
-0.08280794814075004,-0.077340668838627,-0.16014861697937705
-0.08074861268748605,-0.07541729813638867,-0.1561659108238747
-0.0831131649748915,-0.0776257341565095,-0.160738899131401
-0.08142016526373592,-0.07604451238986572,-0.15746467765360164
-0.08260808274524242,-0.07715399927674794,-0.15976208202199038
-0.08127524151844444,-0.0759091570330431,-0.15718439855148753
-0.08237452223967337,-0.0769358592772949,-0.15931038151696827
-0.08168138542126897,-0.07628848585076294,-0.1579698712720319
-0.08184732767467548,-0.0764434719986807,-0.1582907996733562
-0.08159360859867709,-0.07620650437048003,-0.15780011296915714
