,Area,PV_kWh
269,109.98,0.00
270,109.98,0.00
271,109.98,0.00
272,109.98,0.00
273,109.98,2.57
274,109.98,4.75
275,109.98,5.47
276,109.98,5.84
277,109.98,5.39
278,109.98,4.11
279,109.98,2.29
280,109.98,0.00
281,109.98,0.00
282,109.98,0.00
283,109.98,0.00
284,109.98,0.00
285,109.98,0.00
286,109.98,0.00
287,109.98,0.00
288,109.98,0.00
289,109.98,0.00
290,109.98,0.00
291,109.98,0.00
292,109.98,0.00
293,109.98,0.00
294,109.98,0.00
295,109.98,0.00
296,109.98,0.00
297,109.98,1.53
298,109.98,3.05
299,109.98,3.41
300,109.98,3.27
301,109.98,2.55
302,109.98,2.35
303,109.98,1.24
304,109.98,0.00
305,109.98,0.00
306,109.98,0.00
307,109.98,0.00
308,109.98,0.00
309,109.98,0.00
310,109.98,0.00
311,109.98,0.00
312,109.98,0.00
313,109.98,0.00
314,109.98,0.00
315,109.98,0.00
316,109.98,0.00
317,109.98,0.00
318,109.98,0.00
319,109.98,0.00
320,109.98,0.00
321,109.98,0.00
322,109.98,0.00
323,109.98,0.00
324,109.98,0.00
325,109.98,0.00
326,109.98,0.00
327,109.98,0.00
328,109.98,0.00
329,109.98,0.00
330,109.98,0.00
331,109.98,0.00
332,109.98,0.00
333,109.98,0.00
334,109.98,0.00
335,109.98,0.00
336,109.98,0.00
337,109.98,0.00
338,109.98,0.00
339,109.98,0.00
340,109.98,0.00
341,109.98,0.00
342,109.98,0.00
343,109.98,0.00
344,109.98,0.00
345,109.98,0.00
346,109.98,0.00
347,109.98,0.31
348,109.98,0.76
349,109.98,0.24
350,109.98,0.00
351,109.98,0.00
352,109.98,0.00
353,109.98,0.00
354,109.98,0.00
355,109.98,0.00
356,109.98,0.00
357,109.98,0.00
358,109.98,0.00
359,109.98,0.00
360,109.98,0.00
361,109.98,0.00
362,109.98,0.00
363,109.98,0.00
364,109.98,0.00
365,109.98,0.00
366,109.98,0.00
367,109.98,0.00
368,109.98,0.00
369,109.98,0.00
370,109.98,0.00
371,109.98,0.00
372,109.98,0.00
373,109.98,0.00
374,109.98,0.00
375,109.98,0.00
376,109.98,0.00
377,109.98,0.00
378,109.98,0.00
379,109.98,0.00
380,109.98,0.00
381,109.98,0.00
382,109.98,0.00
383,109.98,0.00
384,109.98,0.00
385,109.98,0.00
386,109.98,0.00
387,109.98,0.00
388,109.98,0.00
389,109.98,0.00
390,109.98,0.00
391,109.98,0.00
392,109.98,0.00
393,109.98,0.61
394,109.98,2.38
395,109.98,3.55
396,109.98,4.80
397,109.98,4.76
398,109.98,4.86
399,109.98,2.91
400,109.98,0.00
401,109.98,0.00
402,109.98,0.00
403,109.98,0.00
404,109.98,0.00
405,109.98,0.00
406,109.98,0.00
407,109.98,0.00
408,109.98,0.00
409,109.98,0.00
410,109.98,0.00
411,109.98,0.00
412,109.98,0.00
413,109.98,0.00
414,109.98,0.00
415,109.98,0.00
416,109.98,0.00
417,109.98,1.19
418,109.98,1.94
419,109.98,3.33
420,109.98,3.55
421,109.98,5.23
422,109.98,4.03
423,109.98,2.74
424,109.98,0.00
425,109.98,0.00
426,109.98,0.00
427,109.98,0.00
428,109.98,0.00
429,109.98,0.00
430,109.98,0.00
431,109.98,0.00
432,109.98,0.00
433,109.98,0.00
434,109.98,0.00
435,109.98,0.00
436,109.98,0.00
437,109.98,0.00
438,109.98,0.00
439,109.98,0.00
440,109.98,0.00
441,109.98,0.00
442,109.98,0.00
443,109.98,0.00
444,109.98,0.00
445,109.98,3.73
446,109.98,3.67
447,109.98,2.29
448,109.98,0.00
449,109.98,0.00
450,109.98,0.00
451,109.98,0.00
452,109.98,0.00
453,109.98,0.00
454,109.98,0.00
455,109.98,0.00
456,109.98,0.00
457,109.98,0.00
458,109.98,0.00
459,109.98,0.00
460,109.98,0.00
461,109.98,0.00
462,109.98,0.00
463,109.98,0.00
464,109.98,0.00
465,109.98,0.00
466,109.98,0.00
467,109.98,0.00
468,109.98,0.00
469,109.98,0.00
470,109.98,0.00
471,109.98,0.00
472,109.98,0.00
473,109.98,0.00
474,109.98,0.00
475,109.98,0.00
476,109.98,0.00
477,109.98,0.00
478,109.98,0.00
479,109.98,0.00
480,109.98,0.00
481,109.98,0.00
482,109.98,0.00
483,109.98,0.00
484,109.98,0.00
485,109.98,0.00
486,109.98,0.00
487,109.98,0.00
488,109.98,0.00
489,109.98,0.00
490,109.98,0.88
491,109.98,1.18
492,109.98,1.37
493,109.98,1.17
494,109.98,0.93
495,109.98,0.00
496,109.98,0.00
497,109.98,0.00
498,109.98,0.00
499,109.98,0.00
500,109.98,0.00
501,109.98,0.00
502,109.98,0.00
503,109.98,0.00
504,109.98,0.00
505,109.98,0.00
506,109.98,0.00
507,109.98,0.00
508,109.98,0.00
509,109.98,0.00
510,109.98,0.00
