,FILE,FIELD,RMSE,ERROR
1384,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xb.csv, Q_DC_space_cooling_data_center_and_refrigeration_losses_W,2.9205730594, ok
1387,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xb.csv, T_DCNf_space_cooling_and_refrigeration_sup_K,0.0480292844, ok
1389,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xb.csv, T_DCNf_space_cooling_data_center_and_refrigeration_sup_K,0.0480292844, ok
1393,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, Q_DCNf_space_cooling_and_refrigeration_W,978.6076666667, ok
1394,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, Q_DCNf_space_cooling_data_center_and_refrigeration_W,978.6076666667, ok
1395,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, Q_DC_space_cooling_and_refrigeration_losses_W,8.0876666667, ok
1396,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, Q_DC_space_cooling_data_center_and_refrigeration_losses_W,8.0876666667, ok
1398,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, T_DCNf_space_cooling_and_refrigeration_re_K,0.0915843163, ok
1399,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, T_DCNf_space_cooling_and_refrigeration_sup_K,0.1810004908, ok
1400,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, T_DCNf_space_cooling_data_center_and_refrigeration_re_K,0.0915843163, ok
1401,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xc.csv, T_DCNf_space_cooling_data_center_and_refrigeration_sup_K,0.1810004908, ok
1405,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, Q_DCNf_space_cooling_and_refrigeration_W,816.908847032, ok
1406,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, Q_DCNf_space_cooling_data_center_and_refrigeration_W,816.908847032, ok
1407,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, Q_DC_space_cooling_and_refrigeration_losses_W,6.7513127854, ok
1408,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, Q_DC_space_cooling_data_center_and_refrigeration_losses_W,6.7513127854, ok
1410,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, T_DCNf_space_cooling_and_refrigeration_re_K,0.0915091484, ok
1411,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, T_DCNf_space_cooling_and_refrigeration_sup_K,0.176102146, ok
1412,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, T_DCNf_space_cooling_data_center_and_refrigeration_re_K,0.0915091484, ok
1413,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xf.csv, T_DCNf_space_cooling_data_center_and_refrigeration_sup_K,0.176102146, ok
1582,cooling\outputs\data\optimization\slave\gen_2\generation_2_individuals.csv, AS_BaseVCC,0.02507539, ok
