FILE,FIELD,RMSE,ERROR,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_BaseBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_CHP_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_DHN_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_Furnace_dry_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_Furnace_wet_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_GHP_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_GRID_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_HP_Lake_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_HP_Server_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_HP_Sewage_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_PVT_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_PV_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_PeakBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_SC_ET_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_SC_FP_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_SeasonalStorage_WS_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_a_SubstationsHeating_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_BackupBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_BaseBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_CHP_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_DHN_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_Furnace_dry_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_Furnace_wet_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_GHP_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_GRID_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_HP_Lake_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_HP_Server_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_HP_Sewage_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_PVT_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_PV_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_PeakBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_SC_ET_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_SC_FP_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_SeasonalStorage_WS_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Capex_total_SubstationsHeating_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,GHG_DB_district_scale_tonCO2yr,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,GHG_GRID_exports_district_scale_tonCO2yr,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,GHG_GRID_imports_district_scale_tonCO2yr,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,GHG_NG_district_scale_tonCO2yr,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,GHG_WB_district_scale_tonCO2yr,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_BackupBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_BaseBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_CHP_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_DHN_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_Furnace_dry_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_Furnace_wet_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_GHP_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_GRID_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_HP_Lake_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_HP_Server_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_HP_Sewage_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_PVT_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_PV_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_PeakBoiler_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_SC_ET_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_SC_FP_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_SeasonalStorage_WS_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_fixed_SubstationsHeating_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_var_DB_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_var_GRID_exports_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_var_GRID_imports_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_var_NG_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_buildings_district_scale_performance.csv,Opex_var_WB_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_building_scale_heating_capacity.csv,Capacity_BaseBoiler_NG_heat_building_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_building_scale_heating_capacity.csv,Capacity_FC_NG_heat_building_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_building_scale_heating_capacity.csv,Capacity_GS_HP_heat_building_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,E_Trigen_NG_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_BackupVCC_AS_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_BackupVCC_AS_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_BaseVCC_AS_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_BaseVCC_AS_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_BaseVCC_WS_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_BaseVCC_WS_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_DailyStorage_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_PeakVCC_AS_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_PeakVCC_AS_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_PeakVCC_WS_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_PeakVCC_WS_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_Trigen_NG_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_Trigen_NG_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Cooling_Activation_Pattern.csv,Q_districtcooling_sys_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_electrical_capacity.csv,Capacity_GRID_el_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_electrical_capacity.csv,Capacity_PV_el_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_electrical_capacity.csv,Capacity_PV_el_district_scale_m2,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_BackupBoiler_NG_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_BaseBoiler_NG_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_CHP_DB_el_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_CHP_DB_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_CHP_NG_el_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_CHP_NG_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_CHP_WB_el_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_CHP_WB_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_HP_DS_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_HP_GS_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_HP_SS_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_HP_WS_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_PVT_district_scale_m2,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_PVT_el_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_PVT_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_PeakBoiler_NG_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_SC_ET_district_scale_m2,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_SC_ET_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_SC_FP_district_scale_m2,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_SC_FP_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_SeasonalStorage_WS_heat_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_district_scale_heating_capacity.csv,Capacity_SeasonalStorage_WS_heat_district_scale_m3,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_CHP_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_CHP_gen_export_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_Furnace_dry_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_Furnace_dry_gen_export_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_Furnace_wet_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_Furnace_wet_gen_export_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_GRID_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_PVT_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_PVT_gen_export_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_PV_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_PV_gen_export_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_Trigen_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Activation_Pattern.csv,E_Trigen_gen_export_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_BackupBoiler_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_BackupVCC_AS_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_BaseBoiler_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_BaseVCC_AS_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_BaseVCC_WS_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_DCN_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_DHN_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_GHP_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_HP_Lake_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_HP_PVT_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_HP_SC_ET_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_HP_SC_FP_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_HP_Server_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_HP_Sew_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_PeakBoiler_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_PeakVCC_AS_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_PeakVCC_WS_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_Storage_charging_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_Storage_discharging_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_cs_cre_cdata_req_building_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_cs_cre_cdata_req_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_electricalnetwork_sys_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_hs_ww_req_building_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,E_hs_ww_req_district_scale_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,Eal_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,Eaux_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,Edata_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Electricity_Requirements_Pattern.csv,Epro_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,E_CHP_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,E_Furnace_dry_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,E_Furnace_wet_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,E_PVT_gen_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_BackupBoiler_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_BaseBoiler_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_CHP_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_Furnace_dry_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_Furnace_wet_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_GHP_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_HP_Lake_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_HP_Server_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_HP_Server_storage_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_HP_Sew_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_PVT_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_PVT_gen_storage_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_PeakBoiler_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_SC_ET_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_SC_ET_gen_storage_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_SC_FP_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_SC_FP_gen_storage_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_Storage_gen_directload_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_Heating_Activation_Pattern.csv,Q_districtheating_sys_req_W,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Capex_a_sys_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Capex_a_sys_building_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Capex_a_sys_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Capex_total_sys_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Capex_total_sys_building_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Capex_total_sys_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,GHG_sys_building_scale_tonCO2,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,GHG_sys_district_scale_tonCO2,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,GHG_sys_tonCO2,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Opex_a_sys_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Opex_a_sys_building_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,Opex_a_sys_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,TAC_sys_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,TAC_sys_building_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_1_total_performance.csv,TAC_sys_district_scale_USD,nan,left only,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Capex_a_cooling_building_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Capex_a_heating_building_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Capex_total_cooling_building_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Capex_total_heating_building_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,GHG_cooling_building_scale_tonCO2,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,GHG_heating_building_scale_tonCO2,0.0207360000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Opex_fixed_cooling_building_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Opex_fixed_heating_building_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Opex_var_cooling_building_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_building_scale_performance.csv,Opex_var_heating_building_scale_USD,2895.9465960000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_BackupBoiler_NG_district_scale_USD,6204587.7918009991,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_BaseBoiler_NG_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_CHP_NG_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_DHN_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_Furnace_dry_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_Furnace_wet_district_scale_USD,3554573256.1385636330,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_GHP_district_scale_USD,76057271.2507240027,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_GRID_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_HP_Lake_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_HP_Server_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_HP_Sewage_district_scale_USD,0.0000000000,ok,
heating\outputs\data\optimization\slave\gen_0\ind_3_buildings_district_scale_performance.csv,Capex_a_PVT_district_scale_USD,4128528.2068839879,ok,
