SCRIPT,LOCATOR_METHOD,WORKSHEET,VARIABLE,DESCRIPTION,UNIT,VALUES,TYPE,COLOR,FILE_NAME
-,get_surroundings_geometry,,height_ag,Height above ground (incl. ground floor),[m],{0.0...n},float,black,inputs/building-geometry/surroundings.shp
-,get_surroundings_geometry,,height_bg,"Height below ground (basement, etc)",[m],{0.0...n},float,black,inputs/building-geometry/surroundings.shp
-,get_surroundings_geometry,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-geometry/surroundings.shp
-,get_zone_geometry,,floors_ag,Number of floors above ground (incl. ground floor),[-],{0...n},int,black,inputs/building-geometry/zone.shp
-,get_zone_geometry,,floors_bg,"Number of floors below ground (basement, etc)",[-],{0...n},int,black,inputs/building-geometry/zone.shp
-,get_zone_geometry,,geometry,Geometry,[-],[-],[-],black,inputs/building-geometry/zone.shp
-,get_zone_geometry,,height_ag, Height above ground (incl. ground floor),[m],{0.0...n},float,black,inputs/building-geometry/zone.shp
-,get_zone_geometry,,height_bg,"Height below ground (basement, etc)",[m],{0.0...n},float,black,inputs/building-geometry/zone.shp
-,get_zone_geometry,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-geometry/zone.shp
archetypes-mapper,get_building_air_conditioning,,cool_ends,End of the cooling season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,cool_starts,Start of the cooling season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,heat_ends,End of the heating season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,heat_starts,Start of the heating season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,type_cs,Type of cooling supply system,[code],{T0...Tn},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,type_ctrl,Type of heating and cooling control systems (relates to values in Default Database HVAC Properties),[code],{T1...Tn},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,type_dhw,Type of hot water supply system,[code],{T0...Tn},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,type_hs,Type of heating supply system,[code],{T0...Tn},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_air_conditioning,,type_vent,Type of ventilation strategy (relates to values in Default Database HVAC Properties),[code],{T1...Tn},string,black,inputs/building-properties/air_conditioning_systems.dbf
archetypes-mapper,get_building_architecture,,Es,Fraction of gross floor area with electrical demands.,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,Hs_ag,Fraction of above ground gross floor area air-conditioned.,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,Hs_bg,Fraction of below ground gross floor area air-conditioned.,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,Ns,Fraction of net gross floor area.,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_cons,Type of construction. It relates to the contents of the default database of Envelope Properties: construction,[code],{T1...Tn},string,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_leak,Tightness level. It relates to the contents of the default database of Envelope Properties: tightness,[code],{T1...Tn},string,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_roof,Roof construction type (relates to values in Default Database Construction Properties),[-],{T1...Tn},string,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_shade,Shading system type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_wall,External wall construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_part,Internal partitions construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_floor,Internal floor construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_base,Basement floor construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,type_win,Window type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,void_deck,Number of floors (from the ground up) with an open envelope (default = 0),[-],{0...n},int,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,wwr_east,Window to wall ratio in in facades facing east,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,wwr_north,Window to wall ratio in in facades facing north,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,wwr_south,Window to wall ratio in in facades facing south,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_architecture,,wwr_west,Window to wall ratio in in facades facing west,[m2/m2],{0.0...1},float,black,inputs/building-properties/architecture.dbf
archetypes-mapper,get_building_comfort,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_comfort,,RH_max_pc,Upper bound of relative humidity,[%],{0.0...n},float,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_comfort,,RH_min_pc,Lower_bound of relative humidity,[%],{0.0...n},float,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_comfort,,Tcs_set_C,Setpoint temperature for cooling system,[C],{0.0...n},float,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_comfort,,Tcs_setb_C,Setback point of temperature for cooling system,[C],{0.0...n},float,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_comfort,,Ths_set_C,Setpoint temperature for heating system,[C],{0.0...n},float,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_comfort,,Ths_setb_C,Setback point of temperature for heating system,[C],{0.0...n},float,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_comfort,,Ve_lpspax,Indoor quality requirements of indoor ventilation per person,[l/s],{0.0...n},float,black,inputs/building-properties/indoor_comfort.dbf
archetypes-mapper,get_building_internal,,Ea_Wm2,Peak specific electrical load due to computers and devices,[W/m2],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Ed_Wm2,Peak specific electrical load due to servers/data centres,[W/m2],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Ev_kWveh,Peak specific charging capacity per vehicle,[kW/vehicle],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,El_Wm2,Peak specific electrical load due to artificial lighting,[W/m2],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Epro_Wm2,Peak specific electrical load due to industrial processes,[W/m2],{0.0...n},string,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Occ_m2pax,Occupancy density,[m2/pax],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Qcpro_Wm2,Peak specific process cooling load,[W/m2],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Qcre_Wm2,Peak specific cooling load due to refrigeration (cooling rooms),[W/m2],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Qhpro_Wm2,Peak specific process heating load,[W/m2],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Qs_Wpax,Peak sensible heat load of people,[W/pax],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Vw_lpdpax,Peak specific fresh water consumption (includes cold and hot water),[lpd],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,Vww_lpdpax,Peak specific daily hot water consumption,[lpd],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
archetypes-mapper,get_building_internal,,X_ghpax,Moisture released by occupancy at peak conditions,[gh/kg/p],{0.0...n},float,black,inputs/building-properties/internal_loads.dbf
-,get_building_typology,,YEAR,Construction year,[-],{0...n},int,black,inputs/building-properties/typology.dbf
-,get_building_typology,,STANDARD,Construction Standard,[code],{T1...Tn},string,red,inputs/building-properties/typology.dbf
-,get_building_typology,,1ST_USE,Building Main Use Type,[code],{MULTI_RES...OFFICE},string,orange,inputs/building-properties/typology.dbf
-,get_building_typology,,2ND_USE,Building Second Use Type,[code],{MULTI_RES...OFFICE},string,orange,inputs/building-properties/typology.dbf
-,get_building_typology,,3RD_USE,Building Third Use Type,[code],{MULTI_RES...OFFICE},string,orange,inputs/building-properties/typology.dbf
-,get_building_typology,,1ST_USE_R,Ratio of gross floor area for Main Use Type,[m2/m2],{0.0...1.0},float,orange,inputs/building-properties/typology.dbf
-,get_building_typology,,2ND_USE_R,Ratio of gross floor area for Second Use Type,[m2/m2],{0.0...1.0},float,orange,inputs/building-properties/typology.dbf
-,get_building_typology,,3RD_USE_R,Ratio of gross floor area for Third Use Type,[m2/m2],{0.0...1.0},float,orange,inputs/building-properties/typology.dbf
-,get_building_typology,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-properties/typology.dbf
archetypes-mapper,get_building_weekly_schedules,,METADATA,TODO,TODO,TODO,float,black,inputs/building-properties/schedules/B001.csv
