building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
create_level_8_8a,zone7,west,surface_exterior_11,exterior_wall_curtain,9.408,1.96
create_level_8_9a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_9a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_9a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_9a,zone3,south,surface_exterior_4,exterior_wall_curtain,31.47,7.29+3.2
create_level_8_9a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_9a,zone4,south,surface_exterior_6,exterior_wall_curtain,19.14,3.2+3.18
create_level_8_9a,zone5,south,surface_exterior_7,exterior_wall_curtain,38.85,3.25+3.2+6.5
create_level_8_9a,zone6,east,surface_exterior_8,exterior_wall_curtain,12.0,4
create_level_8_9a,zone6,south,surface_exterior_9,exterior_wall_curtain,31.47,3.2+7.29
create_level_8_9a,zone8,south,surface_exterior_10,exterior_wall_curtain,4.704,0.98
create_level_8_9a,zone8,west,surface_exterior_11,exterior_wall_curtain,9.408,1.96
create_level_8_9b,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_9b,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_9b,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_9b,zone2,south,surface_exterior_4,exterior_wall_curtain,4.704,0.98
create_level_8_9b,zone2,west,surface_exterior_5,exterior_wall_curtain,9.408,1.96
create_level_8_9b,zone3,south,surface_exterior_6,exterior_wall_curtain,21.87,7.29
create_level_8_9b,zone3,west,surface_exterior_7,exterior_wall_curtain,11.94,3.98
create_level_8_9b,zone4,south,surface_exterior_8,exterior_wall_curtain,19.2,3.2+3.2
create_level_8_9b,zone5,south,surface_exterior_9,exterior_wall_curtain,9.54,3.18
create_level_8_9b,zone6,south,surface_exterior_10,exterior_wall_curtain,19.35,3.25+3.2
create_level_8_9b,zone7,south,surface_exterior_11,exterior_wall_curtain,29.1,6.5+3.2
create_level_8_9b,zone8,east,surface_exterior_12,exterior_wall_curtain,12.0,4
create_level_8_9b,zone8,south,surface_exterior_13,exterior_wall_curtain,21.87,7.29
create_level_8_10a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_10a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_10a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_10a,zone3,south,surface_exterior_4,exterior_wall_curtain,21.87,7.29
create_level_8_10a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_10a,zone4,south,surface_exterior_6,exterior_wall_curtain,19.2,3.2+3.2
create_level_8_10a,zone5,south,surface_exterior_7,exterior_wall_curtain,9.54,3.18
create_level_8_10a,zone6,south,surface_exterior_8,exterior_wall_curtain,19.35,3.25+3.2
create_level_8_10a,zone7,south,surface_exterior_9,exterior_wall_curtain,29.1,6.5+3.2
create_level_8_10a,zone8,east,surface_exterior_10,exterior_wall_curtain,12.0,4
create_level_8_10a,zone8,south,surface_exterior_11,exterior_wall_curtain,21.87,7.29
create_level_8_10a,zone9,south,surface_exterior_12,exterior_wall_curtain,4.704,0.98
create_level_8_10a,zone9,west,surface_exterior_13,exterior_wall_curtain,9.408,1.96
create_level_8_11a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_11a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_11a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_11a,zone3,south,surface_exterior_4,exterior_wall_curtain,21.87,7.29
create_level_8_11a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_11a,zone4,south,surface_exterior_6,exterior_wall_curtain,19.2,3.2+3.2
create_level_8_11a,zone5,south,surface_exterior_7,exterior_wall_curtain,9.54,3.18
create_level_8_11a,zone6,south,surface_exterior_8,exterior_wall_curtain,19.35,3.25+3.2
create_level_8_11a,zone7,south,surface_exterior_9,exterior_wall_curtain,29.1,6.5+3.2
create_level_8_11a,zone8,east,surface_exterior_10,exterior_wall_curtain,12.0,4
create_level_8_11a,zone8,south,surface_exterior_11,exterior_wall_curtain,21.87,7.29
create_level_8_11a,zone10,south,surface_exterior_12,exterior_wall_curtain,4.704,0.98
create_level_8_11a,zone10,west,surface_exterior_13,exterior_wall_curtain,9.408,1.96
create_level_8_11b,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_11b,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
