building_name,zone_name,zone_adjacent_name,surface_name,surface_type,surface_area,surface_comment
create_level_8_11c,zone2,zone11,surface_interior_9,interior_wall_window_gypsum,34.992,7.29
create_level_8_11c,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level_8_11c,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level_8_11c,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level_8_11c,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level_8_11c,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level_8_11c,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level_8_11c,zone10,zone11,surface_interior_16,interior_wall_gypsum,12.0,4
create_level_8_12a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level_8_12a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,15.36,3.2
create_level_8_12a,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level_8_12a,zone1,zone6,surface_interior_4,interior_wall_window_gypsum,15.264,3.18
create_level_8_12a,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,30.96,3.25+3.2
create_level_8_12a,zone2,zone8,surface_interior_6,interior_wall_window_gypsum,31.2,6.5
create_level_8_12a,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,15.36,3.2
create_level_8_12a,zone2,zone10,surface_interior_8,interior_wall_window_gypsum,34.992,7.29
create_level_8_12a,zone2,zone11,surface_interior_9,interior_wall_window_gypsum,20.016,4.17
create_level_8_12a,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level_8_12a,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level_8_12a,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level_8_12a,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level_8_12a,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level_8_12a,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level_8_12b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level_8_12b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level_8_12b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level_8_12b,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.36,3.2
create_level_8_12b,zone1,zone6,surface_interior_5,interior_wall_window_gypsum,15.264,3.18
create_level_8_12b,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,3.25+3.2
create_level_8_12b,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,31.2,6.5
create_level_8_12b,zone2,zone10,surface_interior_8,interior_wall_window_gypsum,15.36,3.2
create_level_8_12b,zone2,zone11,surface_interior_9,interior_wall_window_gypsum,34.992,7.29
