"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","07 Jun 2005","31","110.02","5184.142"
"USEP","07 Jun 2005","32","110.04","5176.036"
"USEP","07 Jun 2005","33","109.70","5152.240"
"USEP","07 Jun 2005","34","109.56","5122.480"
"USEP","07 Jun 2005","35","104.35","5042.607"
"USEP","07 Jun 2005","36","102.71","4906.965"
"USEP","07 Jun 2005","37","97.93","4796.930"
"USEP","07 Jun 2005","38","98.83","4809.355"
"USEP","07 Jun 2005","39","102.69","4845.472"
"USEP","07 Jun 2005","40","102.65","4808.972"
"USEP","07 Jun 2005","41","102.91","4759.640"
"USEP","07 Jun 2005","42","105.94","4704.016"
"USEP","07 Jun 2005","43","101.73","4639.251"
"USEP","07 Jun 2005","44","102.61","4539.732"
"USEP","07 Jun 2005","45","102.42","4434.632"
"USEP","07 Jun 2005","46","100.85","4353.382"
"USEP","07 Jun 2005","47","100.57","4267.108"
"USEP","07 Jun 2005","48","90.70","4160.626"
"USEP","08 Jun 2005","1","96.79","4034.626"
"USEP","08 Jun 2005","2","109.13","3959.843"
"USEP","08 Jun 2005","3","109.17","3950.166"
"USEP","08 Jun 2005","4","108.61","3875.472"
"USEP","08 Jun 2005","5","108.84","3827.864"
"USEP","08 Jun 2005","6","128.17","3782.299"
"USEP","08 Jun 2005","7","204.75","3756.068"
"USEP","08 Jun 2005","8","187.99","3735.601"
"USEP","08 Jun 2005","9","117.13","3735.805"
"USEP","08 Jun 2005","10","117.10","3729.210"
"USEP","08 Jun 2005","11","108.82","3748.588"
"USEP","08 Jun 2005","12","114.13","3812.050"
"USEP","08 Jun 2005","13","145.91","3916.032"
"USEP","08 Jun 2005","14","128.46","3997.132"
"USEP","08 Jun 2005","15","94.51","4128.470"
"USEP","08 Jun 2005","16","105.88","4398.753"
"USEP","08 Jun 2005","17","122.24","4697.202"
"USEP","08 Jun 2005","18","109.35","4897.040"
"USEP","08 Jun 2005","19","102.89","4893.059"
"USEP","08 Jun 2005","20","101.17","4934.082"
"USEP","08 Jun 2005","21","99.15","5007.951"
