hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
13,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
14,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
15,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
16,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
17,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
18,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
19,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
20,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
21,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
22,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
23,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
