Name,Af_m2,Aroof_m2,GFA_m2,people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B011,28241.781,1439.438,51819.781,2757.000,0.000,3121.020,7807.917,0.000,0.000,0.000,0.000,0.000,421.695,0.000,0.000,0.000,0.000,1538.725,6055.091,0.000,0.000,0.000,-235.951,0.000,3180.100,0.000,0.000,421.695,128.148,0.000,0.000,942.131,0.000,571.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3121.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7570.783,0.000,0.000,0.000,0.000,2406.441,0.000,0.000,0.000,0.000,2285.979,0.000,15.907,0.000,0.000,-1.183,0.000,0.000,0.000,0.000,587.220,0.000,28.941,0.000,-4449.763,0.000,0.000,468.550,0.000,0.000,0.000,7807.917,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,142.387,125.875,0.000,0.000,0.000,0.000,128.148,-4449.763,0.000,0.000,0.000,0.000,0.000,0.000,831.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3151.159,0.000,0.000,413.501,0.000,2285.979,-7807.917,0.000
B012,21181.327,1439.438,38864.821,2068.000,0.000,2351.604,5976.426,0.000,0.000,0.000,0.000,0.000,317.333,0.000,0.000,0.000,0.000,1162.629,4572.766,0.000,0.000,0.000,-182.715,0.000,2378.916,0.000,0.000,317.333,96.396,0.000,0.000,706.530,0.000,428.485,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2351.604,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5792.527,0.000,0.000,0.000,0.000,1841.258,0.000,0.000,0.000,0.000,1748.331,0.000,8.561,0.000,0.000,-1.184,0.000,0.000,0.000,0.000,437.046,0.000,15.548,0.000,-3440.923,0.000,0.000,352.592,0.000,0.000,0.000,5976.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107.106,94.407,0.000,0.000,0.000,0.000,96.396,-3440.923,0.000,0.000,0.000,0.000,0.000,0.000,635.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2363.368,0.000,0.000,310.125,0.000,1748.331,-5976.426,0.000
B013,28241.792,1439.439,51819.802,2757.000,0.000,3131.971,7917.179,0.000,0.000,0.000,0.000,0.000,421.695,0.000,0.000,0.000,0.000,1550.429,6088.638,0.000,0.000,0.000,-240.940,0.000,3180.117,0.000,0.000,421.695,128.148,0.000,0.000,929.915,0.000,571.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3131.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7675.036,0.000,0.000,0.000,0.000,2439.971,0.000,0.000,0.000,0.000,2279.879,0.000,15.914,0.000,0.000,-1.203,0.000,0.000,0.000,0.000,587.227,0.000,28.957,0.000,-4543.064,0.000,0.000,468.550,0.000,0.000,0.000,7917.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,142.387,125.875,0.000,0.000,0.000,0.000,128.148,-4543.064,0.000,0.000,0.000,0.000,0.000,0.000,848.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3151.160,0.000,0.000,413.501,0.000,2279.879,-7917.179,0.000
B014,26595.232,4066.549,48798.592,2597.000,0.000,2873.399,6538.763,0.000,0.000,0.000,0.000,0.000,397.073,0.000,0.000,0.000,0.000,1352.120,5428.926,0.000,0.000,0.000,-184.772,0.000,2973.948,0.000,0.000,397.073,120.687,0.000,0.000,877.787,0.000,538.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2873.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6351.517,0.000,0.000,0.000,0.000,2013.785,0.000,0.000,0.000,0.000,1884.520,0.000,3.602,0.000,0.000,-2.474,0.000,0.000,0.000,0.000,541.606,0.000,6.508,0.000,-3478.119,0.000,0.000,441.193,0.000,0.000,0.000,6538.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,134.097,118.537,0.000,0.000,0.000,0.000,120.687,-3478.119,0.000,0.000,0.000,0.000,0.000,0.000,693.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2967.441,0.000,0.000,389.393,0.000,1884.520,-6538.763,0.000
B015,26658.340,4076.199,48914.385,2603.000,0.000,2928.306,6892.225,0.000,0.000,0.000,0.000,0.000,398.182,0.000,0.000,0.000,0.000,1388.028,5544.155,0.000,0.000,0.000,-200.323,0.000,2981.015,0.000,0.000,398.182,121.027,0.000,0.000,857.137,0.000,539.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2928.306,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6689.376,0.000,0.000,0.000,0.000,2120.715,0.000,0.000,0.000,0.000,1977.705,0.000,3.621,0.000,0.000,-2.526,0.000,0.000,0.000,0.000,542.903,0.000,6.533,0.000,-3761.070,0.000,0.000,442.425,0.000,0.000,0.000,6892.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,134.474,118.818,0.000,0.000,0.000,0.000,121.027,-3761.070,0.000,0.000,0.000,0.000,0.000,0.000,727.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2974.482,0.000,0.000,390.317,0.000,1977.705,-6892.225,0.000
B016,29763.368,4550.974,54611.685,2906.000,0.000,3232.596,7394.341,0.000,0.000,0.000,0.000,0.000,443.907,0.000,0.000,0.000,0.000,1524.700,6097.539,0.000,0.000,0.000,-210.101,0.000,3328.205,0.000,0.000,443.907,134.942,0.000,0.000,970.760,0.000,602.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3232.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7181.513,0.000,0.000,0.000,0.000,2276.103,0.000,0.000,0.000,0.000,2119.289,0.000,4.025,0.000,0.000,-2.727,0.000,0.000,0.000,0.000,606.119,0.000,7.271,0.000,-3948.917,0.000,0.000,493.230,0.000,0.000,0.000,7394.341,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,149.936,132.657,0.000,0.000,0.000,0.000,134.942,-3948.917,0.000,0.000,0.000,0.000,0.000,0.000,787.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3320.934,0.000,0.000,435.779,0.000,2119.289,-7394.341,0.000
B017,29133.295,4399.401,53455.587,2844.000,0.000,3197.376,7487.235,0.000,0.000,0.000,0.000,0.000,434.729,0.000,0.000,0.000,0.000,1541.470,6044.728,0.000,0.000,0.000,-216.759,0.000,3257.726,0.000,0.000,434.729,132.149,0.000,0.000,939.230,0.000,589.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3197.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7267.869,0.000,0.000,0.000,0.000,2303.970,0.000,0.000,0.000,0.000,2228.383,0.000,3.954,0.000,0.000,-2.606,0.000,0.000,0.000,0.000,593.301,0.000,7.093,0.000,-4070.494,0.000,0.000,483.032,0.000,0.000,0.000,7487.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,146.832,129.849,0.000,0.000,0.000,0.000,132.149,-4070.494,0.000,0.000,0.000,0.000,0.000,0.000,819.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3250.632,0.000,0.000,426.554,0.000,2228.383,-7487.235,0.000
B018,35694.363,7277.138,65494.244,3485.000,0.000,4116.978,9343.654,0.000,0.000,0.000,0.000,0.000,533.528,0.000,0.000,0.000,0.000,1808.688,7425.130,0.000,0.000,0.000,-272.871,0.000,3987.994,0.000,0.000,533.528,162.233,0.000,0.000,994.767,0.000,722.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4116.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9066.359,0.000,0.000,0.000,0.000,2844.327,0.000,0.000,0.000,0.000,2517.366,0.000,2.942,0.000,0.000,-4.424,0.000,0.000,0.000,0.000,725.016,0.000,5.291,0.000,-4949.381,0.000,0.000,592.809,0.000,0.000,0.000,9343.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,180.259,159.092,0.000,0.000,0.000,0.000,162.233,-4949.381,0.000,0.000,0.000,0.000,0.000,0.000,926.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3982.703,0.000,0.000,522.617,0.000,2517.366,-9343.654,0.000
B019,27280.877,4171.388,50056.656,2664.000,0.000,2942.768,6701.740,0.000,0.000,0.000,0.000,0.000,408.166,0.000,0.000,0.000,0.000,1412.989,5569.469,0.000,0.000,0.000,-189.156,0.000,3050.633,0.000,0.000,408.166,124.085,0.000,0.000,902.331,0.000,551.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2942.768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6509.911,0.000,0.000,0.000,0.000,2065.318,0.000,0.000,0.000,0.000,1957.381,0.000,3.722,0.000,0.000,-2.673,0.000,0.000,0.000,0.000,555.597,0.000,6.690,0.000,-3567.143,0.000,0.000,453.518,0.000,0.000,0.000,6701.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,137.872,121.593,0.000,0.000,0.000,0.000,124.085,-3567.143,0.000,0.000,0.000,0.000,0.000,0.000,741.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3043.943,0.000,0.000,399.432,0.000,1957.381,-6701.740,0.000
B020,32794.086,5148.268,60172.635,3202.000,0.000,3595.116,8347.075,0.000,0.000,0.000,0.000,0.000,489.015,0.000,0.000,0.000,0.000,1729.353,6778.439,0.000,0.000,0.000,-240.270,0.000,3667.069,0.000,0.000,489.015,148.677,0.000,0.000,1055.506,0.000,663.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3595.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-8103.892,0.000,0.000,0.000,0.000,2568.020,0.000,0.000,0.000,0.000,2474.508,0.000,4.448,0.000,0.000,-2.913,0.000,0.000,0.000,0.000,667.851,0.000,7.973,0.000,-4508.776,0.000,0.000,543.350,0.000,0.000,0.000,8347.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,165.197,146.165,0.000,0.000,0.000,0.000,148.677,-4508.776,0.000,0.000,0.000,0.000,0.000,0.000,917.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3659.096,0.000,0.000,480.153,0.000,2474.508,-8347.075,0.000
B021,76379.840,7782.395,140146.495,7458.000,0.000,8109.445,21324.580,0.000,0.000,0.000,0.000,0.000,1128.949,0.000,0.000,0.000,0.000,4407.966,16437.082,0.000,0.000,0.000,-650.337,0.000,8555.408,0.000,0.000,1128.949,343.441,0.000,0.000,2764.684,0.000,1545.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-8109.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-20670.416,0.000,0.000,0.000,0.000,6627.287,0.000,0.000,0.000,0.000,6712.685,0.000,18.277,0.000,0.000,-3.828,0.000,0.000,0.000,0.000,1563.392,0.000,33.104,0.000,-12560.971,0.000,0.000,1254.388,0.000,0.000,0.000,21324.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,381.601,340.430,0.000,0.000,0.000,0.000,343.441,-12560.971,0.000,0.000,0.000,0.000,0.000,0.000,2511.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8522.303,0.000,0.000,1118.312,0.000,6712.685,-21324.580,0.000
B022,88163.275,17974.164,161767.477,8608.000,0.000,10338.752,23457.288,0.000,0.000,0.000,0.000,0.000,1308.538,0.000,0.000,0.000,0.000,4408.047,18419.596,0.000,0.000,0.000,-692.735,0.000,9849.809,0.000,0.000,1308.538,398.163,0.000,0.000,2379.356,0.000,1783.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10338.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-22754.723,0.000,0.000,0.000,0.000,7115.855,0.000,0.000,0.000,0.000,6063.386,0.000,7.010,0.000,0.000,-9.830,0.000,0.000,0.000,0.000,1790.496,0.000,12.735,0.000,-12415.971,0.000,0.000,1453.931,0.000,0.000,0.000,23457.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,442.403,392.949,0.000,0.000,0.000,0.000,398.163,-12415.971,0.000,0.000,0.000,0.000,0.000,0.000,2231.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9837.074,0.000,0.000,1290.839,0.000,6063.386,-23457.288,0.000
