AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
16.0494262276,B002,srf33,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,16.5471002529,0.0,west
16.0494262276,B002,srf34,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,15.2028997471,0.0,west
20.8945732243,B002,srf35,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,15.2028997471,0.0,west
16.0494262276,B002,srf36,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,16.9528997471,0.0,west
20.8945732243,B002,srf37,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,16.75,0.0,west
20.8945732243,B002,srf38,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,18.2971002529,0.0,west
16.0494262276,B002,srf39,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,18.2971002529,0.0,west
20.8945732243,B002,srf40,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,20.25,0.0,west
16.0494262276,B002,srf41,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,20.0471002529,0.0,west
16.0494262276,B002,srf42,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,18.7028997471,0.0,west
20.8945732243,B002,srf43,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,18.7028997471,0.0,west
16.0494262276,B002,srf44,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,20.4528997471,0.0,west
20.8945732243,B002,srf45,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,20.25,0.0,west
20.8945732243,B002,srf46,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,21.7971002529,0.0,west
16.0494262276,B002,srf47,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,21.7971002529,0.0,west
5.68007737098,B002,srf48,walls,371721.916036,0.742675136257,140418.21845,0.669651881193,2.75,-0.0,east
4.36295021457,B002,srf49,walls,371721.916036,0.742675136257,140418.21845,0.669651881193,2.54710025294,-0.0,east
4.36295021457,B002,srf50,walls,371731.289322,0.742675136257,140407.823039,0.669651881193,1.20289974706,-0.0,east
5.68007737099,B002,srf51,walls,371730.202557,0.742675136257,140409.028311,0.669651881193,1.20289974706,-0.0,east
4.36295021457,B002,srf52,walls,371738.489079,0.742675136257,140399.838173,0.669651881193,2.95289974706,-0.0,east
5.68007737098,B002,srf53,walls,371738.489079,0.742675136257,140399.838173,0.669651881193,2.75,-0.0,east
5.68007737099,B002,srf54,walls,371730.202557,0.742675136257,140409.028311,0.669651881193,4.29710025294,-0.0,east
4.36295021457,B002,srf55,walls,371731.289322,0.742675136257,140407.823039,0.669651881193,4.29710025294,-0.0,east
15.214493588,B002,srf56,walls,371695.707475,0.742674964052,140353.224703,0.669652072176,2.75,-0.0,east
11.6864742729,B002,srf57,walls,371695.707475,0.742674964052,140353.224703,0.669652072176,2.54710025294,-0.0,east
11.6864742729,B002,srf58,walls,371720.814498,0.742674964052,140325.379859,0.669652072176,1.20289974706,-0.0,east
15.214493588,B002,srf59,walls,371717.903522,0.742674964052,140328.608266,0.669652072176,1.20289974706,-0.0,east
11.6864742729,B002,srf60,walls,371740.099568,0.742674964052,140303.991829,0.669652072176,2.95289974706,-0.0,east
15.214493588,B002,srf61,walls,371740.099568,0.742674964052,140303.991829,0.669652072176,2.75,-0.0,east
15.214493588,B002,srf62,walls,371717.903522,0.742674964052,140328.608266,0.669652072176,4.29710025294,-0.0,east
11.6864742729,B002,srf63,walls,371720.814498,0.742674964052,140325.379859,0.669652072176,4.29710025294,-0.0,east
5.68007737098,B002,srf64,walls,371721.916036,0.742675136257,140418.21845,0.669651881193,6.25,-0.0,east
4.36295021457,B002,srf65,walls,371721.916036,0.742675136257,140418.21845,0.669651881193,6.04710025294,-0.0,east
4.36295021457,B002,srf66,walls,371731.289322,0.742675136257,140407.823039,0.669651881193,4.70289974706,-0.0,east
5.68007737099,B002,srf67,walls,371730.202557,0.742675136257,140409.028311,0.669651881193,4.70289974706,-0.0,east
4.36295021457,B002,srf68,walls,371738.489079,0.742675136257,140399.838173,0.669651881193,6.45289974706,-0.0,east
5.68007737098,B002,srf69,walls,371738.489079,0.742675136257,140399.838173,0.669651881193,6.25,-0.0,east
5.68007737099,B002,srf70,walls,371730.202557,0.742675136257,140409.028311,0.669651881193,7.79710025294,-0.0,east
4.36295021457,B002,srf71,walls,371731.289322,0.742675136257,140407.823039,0.669651881193,7.79710025294,-0.0,east
15.214493588,B002,srf72,walls,371695.707475,0.742674964052,140353.224703,0.669652072176,6.25,-0.0,east
11.6864742729,B002,srf73,walls,371695.707475,0.742674964052,140353.224703,0.669652072176,6.04710025294,-0.0,east
11.6864742729,B002,srf74,walls,371720.814498,0.742674964052,140325.379859,0.669652072176,4.70289974706,-0.0,east
15.214493588,B002,srf75,walls,371717.903522,0.742674964052,140328.608266,0.669652072176,4.70289974706,-0.0,east
11.6864742729,B002,srf76,walls,371740.099568,0.742674964052,140303.991829,0.669652072176,6.45289974706,-0.0,east
15.214493588,B002,srf77,walls,371740.099568,0.742674964052,140303.991829,0.669652072176,6.25,-0.0,east
15.214493588,B002,srf78,walls,371717.903522,0.742674964052,140328.608266,0.669652072176,7.79710025294,-0.0,east
11.6864742729,B002,srf79,walls,371720.814498,0.742674964052,140325.379859,0.669652072176,7.79710025294,-0.0,east
5.68007737098,B002,srf80,walls,371721.916036,0.742675136257,140418.21845,0.669651881193,9.75,-0.0,east
4.36295021457,B002,srf81,walls,371721.916036,0.742675136257,140418.21845,0.669651881193,9.54710025294,-0.0,east
