ID,UUID,name,ID_recycling,recycling_method,density,unit,thermal_conductivity,thermal_conductivity_source,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product
5.024,4BA8E23B-3562-494B-87B2-9D891B313B9B,"Fassadenplatte, Kunststoff glasfaserverstaerkt (GFK), 1.6 mm",91.071,"Entsorgung, GFK-Fassadenplatte",2.4,m2,,,"31,700","25,700","6,000",79,78.3,69.3,9.02,0.683,3.63,3.6,3.6,0,0.0291,75.4,74.7,65.7,9.02,0.654,22.1,16.6,5.51,0
5.004,9F6858EE-648D-43AA-A72E-46D8A0B25E11,"Fensterrahmen Aluminium 2,5",91.105,"Entsorgung, Gebaeude, Fensterrahmen, Aluminium",-,m2,,,"246,000","230,000","16,200",631,629,629,0,2.09,77.5,77.4,77.4,0,0.107,553,551,551,0,1.98,132,117,14.9,0
05.004.01,A4A06F21-D291-4225-99D1-EAEAAD11A2A3,"Fensterrahmen Aluminium, WICLINE 75evo, hergestellt mit Hydro CIRCAL 75R 2,5",91.105.01,"Entsorgung, Gebaeude, Fensterrahmen Aluminium, WICLINE 75evo, hergestellt mit Hydro CIRCAL 75R",-,m2,,,"177,000","171,000","6,240",247,247,247,0,0.495,53.9,53.9,53.9,0,0.0156,193,193,193,0,0.48,55.6,49.6,5.98,0
5.005,E65D5066-3C25-440A-A67B-44AACF067AD5,"Fensterrahmen Holz 2,6",91.029,"Entsorgung, Gebaeude, Fensterrahmen, Holz",-,m2,,,"77,700","70,600","7,120",362,360,264,95.5,2.03,190,190,104,85.7,0.0357,172,170,160,9.8,2,36.2,30.3,5.89,7.5
05.005.01,7fc677ab-2fc6-41f9-a1a0-7524d56ea307,"Fensterrahmen Holz, Saphir integral 67/55, G. Baumgartner AG 2,6",91.029.01,"Entsorgung, Gebaeude, Fensterrahmen, Holz, Saphir integral 67/55, G. Baumgartner AG",-,m2,,,"59,300","55,400","3,960",253,252,198,54,1.25,114,114,67.3,47,0.0221,139,138,131,7.03,1.23,25.4,22,3.36,4.11
5.006,5D3F1239-2A50-4539-8DEF-341218D0F70A,"Fensterrahmen Holz-Metall 2,6",91.03,"Entsorgung, Gebaeude, Fensterrahmen, Holz-Metall",-,m2,,,"134,000","126,000","8,230",479,477,394,83.6,1.93,179,179,108,71.4,0.0369,300,298,286,12.2,1.89,65.7,58.6,7.11,6.25
05.006.01,11d36a08-6653-4405-bb9e-2dbbd8e71d8e,"Fensterrahmen Holz-Metall, Saphir integral 55/55, G. Baumgartner AG 2,6",91.030.01,"Entsorgung, Gebaeude, Fensterrahmen, Holz-Metall, Saphir integral 55/55, G. Baumgartner AG",-,m2,,,"79,600","71,900","7,640",306,304,245,58.8,1.49,113,113,69.6,43.5,0.0309,193,191,176,15.3,1.46,38,31.1,6.9,3.81
5.007,84E9C627-DD03-4A9F-AB74-C19202145195,"Fensterrahmen Kunststoff/PVC 2,6",91.031,"Entsorgung, Gebaeude, Fensterrahmen, Plastik",-,m2,,,"115,000","103,000","11,800",344,338,257,81.1,5.8,15.6,15.1,15.1,0,0.494,328,323,242,81.1,5.31,63.4,53.2,10.2,0
5.001,F9C5864D-7143-472A-A4CB-7ED4DC0B447F,"Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 24 mm 3",91.042,"Entsorgung, Isolierverglasung 2-fach, Float/ESG, Ug-Wert 1.1 W/m2K, Dicke 24 mm",-,m2,,,"70,700","65,800","4,910",178,175,175,0,2.93,10.5,10.2,10.2,0,0.277,167,165,165,0,2.66,44.3,40.7,3.6,0
5.009,7785FAA6-5F71-47CC-8753-2694318F593D,"Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm 3",91.107,"Entsorgung, Isolierverglasung 2-fach, Ug-Wert 1.1 W/m2K, Dicke 18 mm",-,m2,,,"78,900","74,800","4,090",208,205,205,0,2.85,13.2,12.9,12.9,0,0.272,195,192,192,0,2.58,48.6,45.7,2.84,0
5.01,235E295B-72C0-461F-8320-6D07BA2F7021,"Isolierverglasung 2-fach, ESG, Ug-Wert 1.1 W/m2K 3",91.042,"Entsorgung, Isolierverglasung 2-fach, Float/ESG, Ug-Wert 1.1 W/m2K, Dicke 24 mm",-,m2,,,"87,000","82,100","4,910",235,232,232,0,2.93,18.9,18.7,18.7,0,0.277,216,214,214,0,2.66,52.1,48.5,3.6,0
5.002,7D185B01-5484-4A8B-A8F5-73CB990EE890,"Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K 3",91.043,"Entsorgung, Isolierverglasung 2-fach, Float/ESG/VSG, Ug-Wert 1.1 W/m2K",-,m2,,,"128,000","119,000","8,730",346,341,341,0,4.55,21.7,21.2,21.2,0,0.424,324,320,320,0,4.12,79.3,72.6,6.68,0
5.011,C52C5B31-C765-4594-852A-0894882A8ED1,"Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K 3",91.043,"Entsorgung, Isolierverglasung 2-fach, Float/ESG/VSG, Ug-Wert 1.1 W/m2K",-,m2,,,"144,000","136,000","8,730",403,399,399,0,4.55,30.1,29.7,29.7,0,0.424,373,369,369,0,4.12,87.1,80.4,6.68,0
