,Q_DH_networkload,Q_aux_ch,Q_aux_dech,Q_from_storage_used,Q_missing,Q_storage_content_Wh,Q_to_storage,Solar_Q_th_W,mdot_DH_fin
7689,5097083.0,0.0,0.0,0.0,5097083.0,0.0,0.0,0.0,56.93729102666475
7690,5140253.0,0.0,0.0,0.0,5140253.0,0.0,0.0,0.0,55.964417934095785
7691,5114777.0,0.0,0.0,0.0,5114777.0,0.0,0.0,0.0,54.04425455048445
7692,4489121.0,0.0,0.0,0.0,4489121.0,0.0,0.0,0.0,50.36016173003289
7693,4088667.0,0.0,0.0,0.0,4088667.0,0.0,0.0,0.0,43.241354956648586
7694,4217284.0,0.0,0.0,0.0,4217284.0,0.0,0.0,0.0,47.964553320046036
7695,4311615.0,0.0,0.0,0.0,4311615.0,0.0,0.0,0.0,48.495671645216255
7696,4155163.0,0.0,0.0,0.0,4155163.0,0.0,0.0,0.0,47.166017183383744
7697,3762406.0,0.0,0.0,0.0,3762406.0,0.0,0.0,0.0,40.3132741419311
7698,1013944.0,0.0,0.0,0.0,1013944.0,0.0,0.0,0.0,26.919697030474893
7699,1048118.0,0.0,0.0,0.0,1048118.0,0.0,0.0,0.0,26.919697030474893
7700,1099416.0,0.0,0.0,0.0,1099416.0,0.0,0.0,0.0,27.866826883539034
7701,462216.0,0.0,0.0,0.0,462216.0,0.0,0.0,0.0,17.577665791674267
7702,316641.0,0.0,0.0,0.0,316641.0,0.0,0.0,0.0,16.630535938610112
7703,336360.0,0.0,0.0,0.0,336360.0,0.0,0.0,0.0,16.630535938610112
7704,265256.0,0.0,0.0,0.0,265256.0,0.0,0.0,0.0,16.35147537236952
7705,291395.0,0.0,0.0,0.0,291395.0,0.0,0.0,0.0,18.37265820596168
7706,328076.0,0.0,0.0,0.0,328076.0,0.0,0.0,0.0,18.37265820596168
7707,349161.0,0.0,0.0,0.0,349161.0,0.0,0.0,0.0,18.37265820596168
7708,361267.0,0.0,0.0,0.0,361267.0,0.0,0.0,0.0,18.37265820596168
7709,651903.0,0.0,0.0,0.0,651903.0,0.0,0.0,0.0,19.723420700538817
7710,1774326.0,0.0,0.0,0.0,1774326.0,0.0,0.0,0.0,27.954749574030643
7711,4499218.0,0.0,0.0,0.0,4499218.0,0.0,0.0,0.0,47.23177237203628
7712,4925144.0,0.0,0.0,0.0,4925144.0,0.0,0.0,0.0,53.56485515784443
7713,5092146.0,0.0,0.0,0.0,5092146.0,0.0,0.0,0.0,55.4156585454797
7714,5655871.0,0.0,0.0,0.0,5655871.0,0.0,0.0,0.0,61.88386346031728
7715,5873325.0,0.0,0.0,0.0,5873325.0,0.0,0.0,0.0,62.83138982011834
7716,5498539.0,0.0,0.0,0.0,5498539.0,0.0,0.0,0.0,58.625476906487954
7717,5481157.0,0.0,0.0,0.0,5481157.0,0.0,0.0,0.0,58.335384664474475
7718,5573816.0,0.0,0.0,0.0,5573816.0,0.0,0.0,0.0,57.81298244251772
7719,5421133.0,0.0,0.0,0.0,5421133.0,0.0,0.0,0.0,56.57216810228296
7720,4964407.0,0.0,0.0,0.0,4964407.0,0.0,0.0,0.0,57.77773177448459
7721,4949233.0,0.0,0.0,0.0,4949233.0,0.0,0.0,0.0,57.7777317744846
7722,1113435.0,0.0,0.0,0.0,1113435.0,0.0,0.0,0.0,27.866826883539034
7723,1129333.0,0.0,0.0,0.0,1129333.0,0.0,0.0,0.0,27.866826883539034
7724,1333836.0,0.0,0.0,0.0,1333836.0,0.0,0.0,0.0,29.217589378116173
7725,492750.0,0.0,0.0,0.0,492750.0,0.0,0.0,0.0,17.577665791674264
7726,302881.0,0.0,0.0,0.0,302881.0,0.0,0.0,0.0,16.630535938610112
7727,306018.0,0.0,0.0,0.0,306018.0,0.0,0.0,0.0,16.630535938610112
7728,196778.0,0.0,0.0,0.0,196778.0,0.0,0.0,0.0,16.31482598758873
7729,191580.0,0.0,0.0,0.0,191580.0,0.0,0.0,0.0,16.31482598758873
7730,197775.0,0.0,0.0,0.0,197775.0,0.0,0.0,0.0,16.31482598758873
7731,202018.0,0.0,0.0,0.0,202018.0,0.0,0.0,0.0,16.31482598758873
7732,199920.0,0.0,0.0,0.0,199920.0,0.0,0.0,0.0,16.31482598758873
7733,445286.0,0.0,0.0,0.0,445286.0,0.0,0.0,0.0,17.665588482165862
7734,1422661.0,0.0,0.0,0.0,1422661.0,0.0,0.0,0.0,27.954749574030643
7735,5745992.0,0.0,0.0,0.0,5745992.0,0.0,0.0,0.0,62.91931251060994
7736,5842829.0,0.0,0.0,0.0,5842829.0,0.0,0.0,0.0,64.18215231469549
7737,5346120.0,0.0,0.0,0.0,5346120.0,0.0,0.0,0.0,57.27471441191082
7738,5521371.0,0.0,0.0,0.0,5521371.0,0.0,0.0,0.0,56.16853546076996
7739,5491233.0,0.0,0.0,0.0,5491233.0,0.0,0.0,0.0,55.307130670422346
7740,5096643.0,0.0,0.0,0.0,5096643.0,0.0,0.0,0.0,55.30713067042234
7741,4847951.0,0.0,0.0,0.0,4847951.0,0.0,0.0,0.0,50.300490304874614
7742,4417256.0,0.0,0.0,0.0,4417256.0,0.0,0.0,0.0,48.95240035146402
7743,4368276.0,0.0,0.0,0.0,4368276.0,0.0,0.0,0.0,48.95240035146402
7744,4344053.0,0.0,0.0,0.0,4344053.0,0.0,0.0,0.0,48.510773484900895
7745,4248882.0,0.0,0.0,0.0,4248882.0,0.0,0.0,0.0,48.510773484900895
7746,878186.0,0.0,0.0,0.0,878186.0,0.0,0.0,0.0,20.263374189715122
7747,905301.0,0.0,0.0,0.0,905301.0,0.0,0.0,0.0,20.263374189715122
7748,936648.0,0.0,0.0,0.0,936648.0,0.0,0.0,0.0,21.210504042779263
7749,372467.0,0.0,0.0,0.0,372467.0,0.0,0.0,0.0,17.094839606033357
7750,199670.0,0.0,0.0,0.0,199670.0,0.0,0.0,0.0,16.14770975296921
7751,195651.0,0.0,0.0,0.0,195651.0,0.0,0.0,0.0,16.14770975296921
7752,118492.0,0.0,0.0,0.0,118492.0,0.0,0.0,0.0,16.31482598758873
7753,82439.0,0.0,0.0,0.0,82439.0,0.0,0.0,0.0,16.31482598758873
7754,109026.0,0.0,0.0,0.0,109026.0,0.0,0.0,0.0,16.31482598758873
7755,128117.0,0.0,0.0,0.0,128117.0,0.0,0.0,0.0,16.31482598758873
7756,149304.0,0.0,0.0,0.0,149304.0,0.0,0.0,0.0,16.31482598758873
7757,172730.0,0.0,0.0,0.0,172730.0,0.0,0.0,0.0,16.31482598758873
7758,999047.0,0.0,0.0,0.0,999047.0,0.0,0.0,0.0,26.6039870794535
7759,983914.0,0.0,0.0,0.0,983914.0,0.0,0.0,0.0,26.603987079453503
7760,1061823.0,0.0,0.0,0.0,1061823.0,0.0,0.0,0.0,27.866826883539034
7761,990785.0,0.0,0.0,0.0,990785.0,0.0,0.0,0.0,26.919697030474893
7762,902194.0,0.0,0.0,0.0,902194.0,0.0,0.0,0.0,21.60760516570365
7763,880385.0,0.0,0.0,0.0,880385.0,0.0,0.0,0.0,20.26337418971512
7764,942310.0,0.0,0.0,0.0,942310.0,0.0,0.0,0.0,21.210504042779263
7765,790564.0,0.0,0.0,0.0,790564.0,0.0,0.0,0.0,20.263374189715122
7766,684784.0,0.0,0.0,0.0,684784.0,0.0,0.0,0.0,20.263374189715122
7767,675349.0,0.0,0.0,0.0,675349.0,0.0,0.0,0.0,20.263374189715122
7768,736746.0,0.0,0.0,0.0,736746.0,0.0,0.0,0.0,20.746200375356022
7769,797886.0,0.0,0.0,0.0,797886.0,0.0,0.0,0.0,20.746200375356022
7770,902824.0,0.0,0.0,0.0,902824.0,0.0,0.0,0.0,20.856148529698395
7771,901339.0,0.0,0.0,0.0,901339.0,0.0,0.0,0.0,20.746200375356022
7772,930397.0,0.0,0.0,0.0,930397.0,0.0,0.0,0.0,25.0120729712227
7773,328807.0000000001,0.0,0.0,0.0,328807.0000000001,0.0,0.0,0.0,17.577665791674267
7774,200864.0,0.0,0.0,0.0,200864.0,0.0,0.0,0.0,16.630535938610112
7775,208609.0,0.0,0.0,0.0,208609.0,0.0,0.0,0.0,16.630535938610112
7776,124337.0,0.0,0.0,0.0,124337.0,0.0,0.0,0.0,16.31482598758873
7777,144583.0,0.0,0.0,0.0,144583.0,0.0,0.0,0.0,16.31482598758873
7778,163637.0,0.0,0.0,0.0,163637.0,0.0,0.0,0.0,16.31482598758873
7779,176075.0,0.0,0.0,0.0,176075.0,0.0,0.0,0.0,16.31482598758873
7780,189357.0,0.0,0.0,0.0,189357.0,0.0,0.0,0.0,16.35147537236952
7781,203473.0,0.0,0.0,0.0,203473.0,0.0,0.0,0.0,17.29186248263114
7782,1031232.0,0.0,0.0,0.0,1031232.0,0.0,0.0,0.0,26.603987079453503
7783,1009196.0,0.0,0.0,0.0,1009196.0,0.0,0.0,0.0,26.603987079453503
7784,1099719.0,0.0,0.0,0.0,1099719.0,0.0,0.0,0.0,26.919697030474893
7785,1103884.0,0.0,0.0,0.0,1103884.0,0.0,0.0,0.0,26.919697030474893
7786,1077043.0,0.0,0.0,0.0,1077043.0,0.0,0.0,0.0,26.919697030474893
7787,1090802.0,0.0,0.0,0.0,741606.9,0.0,0.0,349195.1,18.9459050294536
7788,1193461.0,0.0,0.0,0.0,1180987.3,0.0,0.0,12473.700000000003,28.200391572106614
7789,1026215.0,0.0,0.0,0.0,1026215.0,0.0,0.0,0.0,27.866826883539034
7790,884971.0000000001,0.0,0.0,0.0,884971.0000000001,0.0,0.0,0.0,26.919697030474893
7791,861060.0,0.0,0.0,0.0,861060.0,0.0,0.0,0.0,26.919697030474893
7792,845105.0,0.0,0.0,0.0,845105.0,0.0,0.0,0.0,26.919697030474893
7793,917050.0,0.0,0.0,0.0,917050.0,0.0,0.0,0.0,26.919697030474893
