ID,UUID,name,ID_recycling,recycling_method,density,unit,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product,,
01.002.07,93b87002-5582-4fe7-be54-78d9b37aa188,"Hochbaubeton, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,311",kg,142,106,35.2,0.177,0.124,0.124,0,0.0532,0.0147,0.0128,0.0128,0,0.00191,0.162,0.111,0.111,0,0.0513,0.0904,0.0778,0.0126,0.000687,"Béton pour bâtiment, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (sans armature)","Élimination, béton"
01.002.08,61e656cb-703b-4a7e-b37a-5a66caf11509,"Hochbaubeton, NovoCon Light C25/E30, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,311",kg,134,99.2,35.2,0.192,0.139,0.139,0,0.0532,0.0146,0.0127,0.0127,0,0.00191,0.177,0.126,0.126,0,0.0513,0.0836,0.071,0.0126,0.000778,"Béton pour bâtiment, NovoCon Light C25/E30, NPK A, 280 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.09,4ec4081f-ee91-4c8b-8891-0a02f03355ef,"NovoCon RC-C25/E28, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,292",kg,,,,,,,,,,,,,,,,,,,,,,,"NovoCon RC-C25/E28, NPK A, 280 kg CEM II/B-LL (sans armature)","Élimination, béton"
01.002.10,f5bafd96-ff44-4bb7-8af5-db92c208f035,"Hochbaubeton, NovoCon C50/E25, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,272",kg,130,94.3,35.2,0.191,0.137,0.137,0,0.0532,0.0144,0.0125,0.0125,0,0.00191,0.176,0.125,0.125,0,0.0513,0.0839,0.0713,0.0126,0.00206,"Béton pour bâtiment, NovoCon C50/E25, NPK A, 280 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.12,e819c673-9c19-49e8-a7da-00c4fcac09a8,"Hochbaubeton, NovoCon C50/E25, NPK C, 300 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,264",kg,137,102,35.2,0.205,0.152,0.152,0,0.0532,0.0152,0.0133,0.0133,0,0.00191,0.19,0.139,0.139,0,0.0513,0.0899,0.0773,0.0126,0.00207,"Béton pour bâtiment, NovoCon C50/E25, NPK C, 300 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.11,c467b9e9-608b-4434-ab38-2b5415391a74,"Hochbaubeton, NovoCon RC-M10/E20, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,253",kg,129,93.3,35.2,0.192,0.139,0.139,0,0.0532,0.0144,0.0125,0.0125,0,0.00191,0.178,0.126,0.126,0,0.0513,0.0844,0.0718,0.0126,0.00247,"Béton pour bâtiment, NovoCon RC-M10/E20, NPK A, 280 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.13,2e04ff74-0507-429b-a901-870d3cb40d30,"Hochbaubeton, Q-A230-M10 D E25, 150 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,368",kg,114,78.7,35.2,0.168,0.115,0.115,0,0.0532,0.0106,0.00866,0.00866,0,0.00191,0.157,0.106,0.106,0,0.0513,0.0685,0.0559,0.0126,0,"Béton pour bâtiment, Q-A230-M10 D E25, 150 kg CEM II/B (sans armature)","Élimination, béton"
01.002.14,e60b4954-6452-4870-ae32-51f22f1d1fcc,"Hochbaubeton, Q-A231-M10 D E25, 160 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,378",kg,117,81.8,35.2,0.173,0.12,0.12,0,0.0532,0.0108,0.00893,0.00893,0,0.00191,0.162,0.111,0.111,0,0.0513,0.071,0.0584,0.0126,0,"Béton pour bâtiment, Q-A231-M10 D E25, 160 kg CEM II/B (sans armature)","Élimination, béton"
01.002.15,6e19114f-f267-41b4-8f43-c2e31d346d75,"Hochbaubeton, Q-C330-M D, 180 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,373",kg,125,89.7,35.2,0.18,0.127,0.127,0,0.0532,0.0116,0.00971,0.00971,0,0.00191,0.169,0.117,0.117,0,0.0513,0.0768,0.0642,0.0126,0,"Béton pour bâtiment, Q-C330-M D, 180 kg CEM II/B (sans armature)","Élimination, béton"
01.002.16,394fdeed-cf2e-49f0-bbce-6b9410784403,"Hochbaubeton, Q-C331-M D, 185 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,388",kg,127,92.3,35.2,0.185,0.132,0.132,0,0.0532,0.0119,0.00999,0.00999,0,0.00191,0.173,0.122,0.122,0,0.0513,0.0785,0.0659,0.0126,0,"Béton pour bâtiment, Q-C331-M D, 185 kg CEM II/B (sans armature)","Élimination, béton"
