DATE,Hour,Hour2,Month,Day,tintH_set,tintC_set,People,Ve,I_int,w_int,Ealf_nove,Epro,Edata,Qcdata,Qcrefri,Mww,Mw
3/1/2010 19:00,20.00,68,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
3/1/2010 20:00,21.00,69,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 21:00,22.00,70,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 22:00,23.00,71,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 23:00,24.00,72,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
4/1/2010 0:00,1.00,73,1,2,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
4/1/2010 1:00,2.00,74,1,2,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
4/1/2010 2:00,3.00,75,1,2,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
4/1/2010 3:00,4.00,76,1,2,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
4/1/2010 4:00,5.00,77,1,2,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
4/1/2010 5:00,6.00,78,1,2,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
4/1/2010 6:00,7.00,79,1,2,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 7:00,8.00,80,1,2,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
4/1/2010 8:00,9.00,81,1,2,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 9:00,10.00,82,1,2,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 10:00,11.00,83,1,2,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 11:00,12.00,84,1,2,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
4/1/2010 12:00,13.00,85,1,2,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
4/1/2010 13:00,14.00,86,1,2,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 14:00,15.00,87,1,2,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 15:00,16.00,88,1,2,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 16:00,17.00,89,1,2,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
4/1/2010 17:00,18.00,90,1,2,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
4/1/2010 18:00,19.00,91,1,2,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
4/1/2010 19:00,20.00,92,1,2,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
4/1/2010 20:00,21.00,93,1,2,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 21:00,22.00,94,1,2,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 22:00,23.00,95,1,2,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
4/1/2010 23:00,24.00,96,1,2,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 0:00,1.00,97,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 1:00,2.00,98,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 2:00,3.00,99,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 3:00,4.00,100,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 3:59,5.00,101,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 4:59,6.00,102,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 5:59,7.00,103,1,3,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 6:59,8.00,104,1,3,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
5/1/2010 7:59,9.00,105,1,3,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 8:59,10.00,106,1,3,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 9:59,11.00,107,1,3,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 10:59,12.00,108,1,3,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
5/1/2010 11:59,13.00,109,1,3,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
5/1/2010 12:59,14.00,110,1,3,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 13:59,15.00,111,1,3,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 14:59,16.00,112,1,3,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
