description,code,U_base,GHG_floor_kgCO2m2,GHG_biogenic_floor_kgCO2m2,Service_Life_floor
"IWU Schule, Kindertagesstätte und sonstiges Betreuungsgebäude (4) 1860 - 1978",BASE_NWG_4_A,0.79,180,0,30
"IWU Schule, Kindertagesstätte und sonstiges Betreuungsgebäude (4) 1979 - 2009",BASE_NWG_4_B,0.44,180,0,30
"IWU Schule, Kindertagesstätte und sonstiges Betreuungsgebäude (4)  2010 - 2030",BASE_NWG_4_C,0.18,180,0,30
IWU Gebäude für Kultur und Freizeit (5) 1860 - 1978,BASE_NWG_5_A,0.99,180,0,30
IWU Gebäude für Kultur und Freizeit (5) 1979 - 2009,BASE_NWG_5_B,0.44,180,0,30
IWU Gebäude für Kultur und Freizeit (5) 2010 - 2030,BASE_NWG_5_C,0.54,180,0,30
IWU Sportgebäude (6) 1860 - 1978,BASE_NWG_6_A,0.57,180,0,30
IWU Sportgebäude (6) 1979 - 2009,BASE_NWG_6_B,0.57,180,0,30
IWU Sportgebäude (6) 2010 - 2030,BASE_NWG_6_C,0.99,180,0,30
"IWU Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude (7) 1860 - 1978",BASE_NWG_7_A,0.83,180,0,30
"IWU Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude (7) 1979 - 2009",BASE_NWG_7_B,0.37,180,0,30
"IWU Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude (7) 2010 - 2030",BASE_NWG_7_C,0.26,180,0,30
"IWU Produktions-, Werkstatt-, Lager- oder Betriebsgebäude (8) 1860 - 1978",BASE_NWG_8_A,1.01,180,0,30
"IWU Produktions-, Werkstatt-, Lager- oder Betriebsgebäude (8) 1979 - 2009",BASE_NWG_8_B,0.41,180,0,30
"IWU Produktions-, Werkstatt-, Lager- oder Betriebsgebäude (8) 2010 - 2030",BASE_NWG_8_C,0.22,180,0,30
IWU Handelsgebäude (9) 1860 - 1978,BASE_NWG_9_A,0.37,180,0,30
IWU Handelsgebäude (9) 1979 - 2009,BASE_NWG_9_B,0.5,180,0,30
IWU Handelsgebäude (9) 2010 - 2030,BASE_NWG_9_C,0.12,180,0,30
IWU Technikgebäude (Ver- und Entsorgung) (10) 1860 - 1978,BASE_NWG_10_A,1.51,180,0,30
IWU Technikgebäude (Ver- und Entsorgung) (10) 1979 - 2009,BASE_NWG_10_B,0.37,180,0,30
IWU Technikgebäude (Ver- und Entsorgung) (10) 2010 - 2030,BASE_NWG_10_C,0.24,180,0,30
IWU Verkehrsgebäude (11)  1860 - 1978,BASE_NWG_11_A,0.98,180,0,30
IWU Verkehrsgebäude (11) 1979 - 2009,BASE_NWG_11_B,0.61,180,0,30
IWU Verkehrsgebäude (11) 2010 - 2030,BASE_NWG_11_C,0.24,180,0,30
"IWU Generalized (1) Dienstleistungsgebäude, HK_Geb = (1) bis (7) und (9)  1860 - 1978",BASE_NWG_G1_A,0.64,180,0,30
"IWU Generalized (1) Dienstleistungsgebäude, HK_Geb = (1) bis (7) und (9) 1979 - 2009",BASE_NWG_G1_B,0.41,180,0,30
"IWU Generalized (1) Dienstleistungsgebäude, HK_Geb = (1) bis (7) und (9) 2010 - 2030",BASE_NWG_G1_C,0.2,180,0,30
"IWU Generalized (2) Produktions- und ähnliche Gebäude, HK_Geb = (8), (10), (11)  1860 - 1978",BASE_NWG_G2_A,1.02,180,0,30
"IWU Generalized (2) Produktions- und ähnliche Gebäude, HK_Geb = (8), (10), (11) 1979 - 2009",BASE_NWG_G2_B,0.39,180,0,30
"IWU Generalized (2) Produktions- und ähnliche Gebäude, HK_Geb = (8), (10), (11) 2010 - 2030",BASE_NWG_G2_C,0.22,180,0,30
No retrofit,FLOOR_NoRet,0.29,0,0,60
