description,code,U_roof,a_roof,e_roof,r_roof,GHG_roof_kgCO2m2,GHG_biogenic_roof_kgCO2m2,Service_Life_roof
TABULA Terraced house 1995 - 2001 Normal Refurbishment,ROOF_TH_I_NR,0.41,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 2002 - 2009 Normal Refurbishment,ROOF_TH_J_NR,0.41,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 2010 - 2015 Normal Refurbishment,ROOF_TH_K_NR,0.16,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 2016 … Normal Refurbishment,ROOF_TH_L_NR,0.13,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1860 - 1918 Normal Refurbishment,ROOF_AB_B_NR,0.41,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1919 - 1948 Normal Refurbishment,ROOF_AB_C_NR,0.2,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1949 - 1957 Normal Refurbishment,ROOF_AB_D_NR,0.23,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1958 - 1968 Normal Refurbishment,ROOF_AB_E_NR,0.19,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1969 - 1978 Normal Refurbishment,ROOF_AB_F_NR,0.19,0.55,0.91,0.44999999999999996,112,0,60
TABULA High rise 1958 - 1968 Normal Refurbishment,ROOF_HR_E_NR,0.19,0.55,0.91,0.44999999999999996,112,0,60
TABULA High rise 1969 - 1978 Normal Refurbishment,ROOF_HR_F_NR,0.19,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house … 1859 Advanced Refurbishment,ROOF_SFH_A_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1860 - 1918 Advanced Refurbishment,ROOF_SFH_B_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1919 - 1948 Advanced Refurbishment,ROOF_SFH_C_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1949 - 1957 Advanced Refurbishment,ROOF_SFH_D_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1958 - 1968 Advanced Refurbishment,ROOF_SFH_E_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1969 - 1978 Advanced Refurbishment,ROOF_SFH_F_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1979 - 1983 Advanced Refurbishment,ROOF_SFH_G_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1984 - 1994 Advanced Refurbishment,ROOF_SFH_H_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 1995 - 2001 Advanced Refurbishment,ROOF_SFH_I_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 2002 - 2009 Advanced Refurbishment,ROOF_SFH_J_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 2010 - 2015 Advanced Refurbishment,ROOF_SFH_K_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Single family house 2016 … Advanced Refurbishment,ROOF_SFH_L_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house … 1859 Advanced Refurbishment,ROOF_MFH_A_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1860 - 1918 Advanced Refurbishment,ROOF_MFH_B_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1919 - 1948 Advanced Refurbishment,ROOF_MFH_C_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1949 - 1957 Advanced Refurbishment,ROOF_MFH_D_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1958 - 1968 Advanced Refurbishment,ROOF_MFH_E_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1969 - 1978 Advanced Refurbishment,ROOF_MFH_F_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1979 - 1983 Advanced Refurbishment,ROOF_MFH_G_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1984 - 1994 Advanced Refurbishment,ROOF_MFH_H_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1995 - 2001 Advanced Refurbishment,ROOF_MFH_I_AR,0.11,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 2002 - 2009 Advanced Refurbishment,ROOF_MFH_J_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 2010 - 2015 Advanced Refurbishment,ROOF_MFH_K_AR,0.08,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 2016 … Advanced Refurbishment,ROOF_MFH_L_AR,0.08,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1860 - 1918 Advanced Refurbishment,ROOF_TH_B_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1919 - 1948 Advanced Refurbishment,ROOF_TH_C_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1949 - 1957 Advanced Refurbishment,ROOF_TH_D_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1958 - 1968 Advanced Refurbishment,ROOF_TH_E_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1969 - 1978 Advanced Refurbishment,ROOF_TH_F_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1979 - 1983 Advanced Refurbishment,ROOF_TH_G_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1984 - 1994 Advanced Refurbishment,ROOF_TH_H_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1995 - 2001 Advanced Refurbishment,ROOF_TH_I_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 2002 - 2009 Advanced Refurbishment,ROOF_TH_J_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 2010 - 2015 Advanced Refurbishment,ROOF_TH_K_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 2016 … Advanced Refurbishment,ROOF_TH_L_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1860 - 1918 Advanced Refurbishment,ROOF_AB_B_AR,0.14,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1919 - 1948 Advanced Refurbishment,ROOF_AB_C_AR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1949 - 1957 Advanced Refurbishment,ROOF_AB_D_AR,0.11,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1958 - 1968 Advanced Refurbishment,ROOF_AB_E_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA Apartment block 1969 - 1978 Advanced Refurbishment,ROOF_AB_F_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA High rise 1958 - 1968 Advanced Refurbishment,ROOF_HR_E_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA High rise 1969 - 1978 Advanced Refurbishment,ROOF_HR_F_AR,0.09,0.55,0.91,0.44999999999999996,112,0,60
TABULA GDR Multi family house 1949 - 1957,ROOF_MFH-EAST_D,1.08,0.6,0.94,0.4,112,0,60
TABULA GDR Multi family house 1958 - 1068,ROOF_MFH-EAST_E,0.51,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1969 - 1978,ROOF_AB-EAST_F,0.51,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1979 - 1983,ROOF_AB-EAST_G,0.43,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1984 - 1994,ROOF_AB-EAST_H,0.36,0.6,0.94,0.4,112,0,60
TABULA GDR High rise 1969 - 1978,ROOF_HR-EAST_F,0.51,0.6,0.94,0.4,112,0,60
TABULA GDR High rise 1979 - 1983,ROOF_HR-EAST_G,0.43,0.6,0.94,0.4,112,0,60
TABULA GDR Multi family house 1949 - 1957 Normal Refurbishment,ROOF_MFH-EAST_D_NR,0.23,0.6,0.94,0.4,112,0,60
TABULA GDR Multi family house 1958 - 1968 Normal Refurbishment,ROOF_MFH-EAST_E_NR,0.19,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1969 - 1978 Normal Refurbishment,ROOF_AB-EAST_F_NR,0.19,0.6,0.94,0.4,112,0,60
