description,code,U_win,G_win,e_win,F_F,GHG_win_kgCO2m2,GHG_biogenic_win_kgCO2m2,Service_Life_win
TABULA Multi family house 1984 - 1994 Advanced Refurbishment,WINDOW_MFH_H_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 1995 - 2001 Advanced Refurbishment,WINDOW_MFH_I_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 2002 - 2009 Advanced Refurbishment,WINDOW_MFH_J_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 2010 - 2015 Advanced Refurbishment,WINDOW_MFH_K_AR,0.7,0.5,0.02,0.3,123,0,30
TABULA Multi family house 2016 … Advanced Refurbishment,WINDOW_MFH_L_AR,0.7,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1860 - 1918 Advanced Refurbishment,WINDOW_TH_B_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1919 - 1948 Advanced Refurbishment,WINDOW_TH_C_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1949 - 1957 Advanced Refurbishment,WINDOW_TH_D_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1958 - 1968 Advanced Refurbishment,WINDOW_TH_E_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1969 - 1978 Advanced Refurbishment,WINDOW_TH_F_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1979 - 1983 Advanced Refurbishment,WINDOW_TH_G_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1984 - 1994 Advanced Refurbishment,WINDOW_TH_H_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 1995 - 2001 Advanced Refurbishment,WINDOW_TH_I_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 2002 - 2009 Advanced Refurbishment,WINDOW_TH_J_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Terraced house 2010 - 2015 Advanced Refurbishment,WINDOW_TH_K_AR,0.7,0.5,0.02,0.3,123,0,30
TABULA Terraced house 2016 … Advanced Refurbishment,WINDOW_TH_L_AR,0.7,0.5,0.02,0.3,123,0,30
TABULA Apartment block 1860 - 1918 Advanced Refurbishment,WINDOW_AB_B_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Apartment block 1919 - 1948 Advanced Refurbishment,WINDOW_AB_C_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Apartment block 1949 - 1957 Advanced Refurbishment,WINDOW_AB_D_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Apartment block 1958 - 1968 Advanced Refurbishment,WINDOW_AB_E_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Apartment block 1969 - 1978 Advanced Refurbishment,WINDOW_AB_F_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA High rise 1958 - 1968 Advanced Refurbishment,WINDOW_HR_E_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA High rise 1969 - 1978 Advanced Refurbishment,WINDOW_HR_F_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA GDR Multi family house 1949 - 1957,WINDOW_MFH-EAST_D,3.0,0.75,0.89,0.2,62,0,30
TABULA GDR Multi family house 1958 - 1068,WINDOW_MFH-EAST_E,2.7,0.75,0.89,0.2,62,0,30
TABULA GDR Apartment block 1969 - 1978,WINDOW_AB-EAST_F,2.7,0.75,0.89,0.2,62,0,30
TABULA GDR Apartment block 1979 - 1983,WINDOW_AB-EAST_G,2.7,0.75,0.89,0.2,62,0,30
TABULA GDR Apartment block 1984 - 1994,WINDOW_AB-EAST_H,3.0,0.75,0.89,0.2,62,0,30
TABULA GDR High rise 1969 - 1978,WINDOW_HR-EAST_F,2.7,0.75,0.89,0.2,62,0,30
TABULA GDR High rise 1979 - 1983,WINDOW_HR-EAST_G,3.0,0.75,0.89,0.2,62,0,30
TABULA GDR Multi family house 1949 - 1957 Normal Refurbishment,WINDOW_MFH-EAST_D_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA GDR Multi family house 1958 - 1968 Normal Refurbishment,WINDOW_MFH-EAST_E_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA GDR Apartment block 1969 - 1978 Normal Refurbishment,WINDOW_AB-EAST_F_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA GDR Apartment block 1979 - 1983 Normal Refurbishment,WINDOW_AB-EAST_G_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA GDR Apartment block 1984 - 1994 Normal Refurbishment,WINDOW_AB-EAST_H_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA GDR High rise 1969 - 1978 Normal Refurbishment,WINDOW_HR-EAST_F_NR,1.3,0.67,0.02,0.3,123,0,30
